Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-34.4471283   -1.54666567 -13.3974762    0.           0.
   0.          12.          -1.           1.37087858 105.31822968
 359.11938477   5.4268514    0.           0.           0.
   0.           0.        ]",144,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.04922638e+01 -2.31782842e+00 -2.62116127e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.49160159e+00  1.06270447e+02  3.59848022e+02  7.25730138e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",12,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.75018921e+01 -3.62424517e+00 -3.59016685e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.09485915e-03  6.32211075e+01  3.58478973e+02  1.83088502e-01
  3.62626502e+00  6.33121927e+00  9.77823430e+00  3.35058777e+00
  0.00000000e+00]",111,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.75807419e+01 -3.61977625e+00 -3.59085274e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.59515350e+02  6.40283051e+01  3.59698792e+02  2.81524708e-02
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  1.00000000e+01]",86,0.533,No collision,"[0, 0.427982, 0, 0, 0.533308, 0.292913, 0.042138, 0, 0, 0, 0, 0]",False
0,"[ 8.76982956e+01 -3.62133503e+00 -3.59274712e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.59568573e+02  6.47902527e+01  3.59684052e+02  1.91270373e-03
  2.00000000e+02  2.00000000e+01  2.00000000e+02  4.00000000e+01
  2.00000000e+01]",152,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.78557358e+01 -3.62382627e+00 -3.59414101e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59507660e+02  6.58866959e+01  3.59651154e+02  1.76421199e-02
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00]",83,0.169,No collision,"[0, 0.134913, 0, 0.088425, 0.135074, 0.148309, 0.147787, 0.152425, 0.161261, 0.165454, 0.16731, 0.16905]",False
0,"[ 8.80160522e+01 -3.62693906e+00 -3.59477882e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59428986e+02  6.73091354e+01  3.59699585e+02  3.70447315e-02
  8.00939751e-01  3.12351339e+00  0.00000000e+00  5.54734777e-01
  0.00000000e+00]",95,0.914,No collision,"[0.169752, 0.847665, 0.173654, 0.174816, 0.175626, 0.911096, 0.911709, 0.178823, 0.912253, 0.912692, 0.913313, 0.913913]",False
0,"[ 8.81657257e+01 -3.62972927e+00 -3.59618187e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59431458e+02  6.84370193e+01  3.59675629e+02  3.59630072e-02
  1.00707003e+02  1.62580632e+01  1.19994160e+02  2.61162124e+01
  1.00000000e+01]",46,0.919,No collision,"[0.190106, 0.914793, 0.915358, 0.197105, 0.198137, 0.200034, 0.91741, 0.918381, 0.918929, 0.895405, 0.88129, 0.880087]",False
0,"[ 8.84517593e+01 -3.63572645e+00 -3.59714012e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59453674e+02  7.11630020e+01  3.59611389e+02  1.16728485e-01
  6.77319234e+00  1.25685561e+01  1.94709512e+01  1.04575064e+01
  0.00000000e+00]",33,0.883,No collision,"[0.222714, 0.224322, 0.224836, 0.883497, 0.232136, 0.232769, 0.232795, 0.2328, 0.232801, 0.232802, 0.232802, 0.232802]",False
0,"[ 8.85188370e+01 -3.63749933e+00 -3.59770355e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59508392e+02  7.17184906e+01  3.59572662e+02  1.56238894e-04
  1.04054421e+02  2.25899086e+01  1.30081830e+02  2.90080077e+01
  1.00000000e+01]",36,0.233,No collision,"[0.232802, 0.232802, 0.232802, 0.232802, 0.232802, 0.232802, 0.232801, 0.232801, 0.232801, 0.232801, 0.232801, 0.2328]",False
