Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.09538651  -1.50442505 -12.94653702   0.           0.
   0.          12.          -1.           1.25831366 105.23355103
 359.05563354   4.85748184   0.           0.           0.
   0.        ]",18,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -1.61087453  -2.03240132 -22.60081863   0.           0.
   0.          12.           1.           1.26522458 106.01818085
   0.14026594   9.87977802   0.           0.           0.
   0.        ]",91,0.66,No collision,"[0.570966, 0.659802, 0.589565, 0.404543, 0.180714, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 50.14081192  -2.99285364 -33.31079865   0.           0.
   0.          12.          -1.           1.11002338  86.43125153
 359.90426636   3.05595904 100.          10.         100.
  20.        ]",48,1.0,SchoolBus(Clone)91476f67-6ae9-44cc-adc6-b9e4234887ea,"[0, 0, 0.331084, 0.68258, 1, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 80.42604065  -3.48036981 -38.99769592   0.           0.
   0.          12.           1.           0.87112451 105.39556885
 359.95059204   7.0551027    0.           0.           0.
   0.        ]",118,0.454,No collision,"[0.453834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.30130814e+02 -4.09795284e+00 -5.29957886e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.49778366e-01  1.05715057e+02  7.26957666e-03  1.04302575e+01
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",137,0.648,No collision,"[0, 0.434732, 0.609661, 0.639909, 0.640859, 0.362707, 0.375642, 0.380782, 0.596934, 0.60315, 0.647617, 0.400453]",False
0,"[ 1.95686478e+02 -4.92539215e+00 -7.08859940e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.09179008e-01  1.05033318e+02  2.70024836e-02  1.19160746e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",112,0.684,No collision,"[0.408292, 0.419706, 0.42884, 0.438494, 0.442058, 0.446047, 0.444007, 0.452264, 0.45311, 0.461011, 0.684312, 0.390515]",False
0,"[ 2.68318939e+02 -6.26660585e+00 -9.02673721e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.08702612e+00  1.05209000e+02  9.73518044e-02  1.23091879e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",52,0.837,No collision,"[0.276489, 0.642666, 0.796347, 0.836788, 0.573867, 0.251593, 0.398195, 0.251252, 0, 0.298548, 0.685618, 0.613512]",False
0,"[ 321.75250244   -7.14749146 -102.98589325    0.            0.
    0.           12.           -1.            0.90137142   99.50828552
  359.92324829    4.97048439  100.           10.          100.
   20.        ]",65,0.773,No collision,"[0.653645, 0.773165, 0.074447, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[339.16522217  -7.39421177 -83.5508194    0.           0.
   0.          12.          -1.           0.42328534  22.77781296
 358.56268311   4.09301446 100.          10.         100.
  20.        ]",154,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.44005646e+02 -7.45515585e+00 -7.08023758e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.51833087e-01  1.98241768e+01  3.58971161e+02  9.42079897e-05
  5.05017930e+01  5.85522779e+00  5.62165135e+01  1.44294308e+01]",5,0.788,No collision,"[0, 0, 0.198969, 0.584541, 0.788346, 0.248552, 0.240234, 0.22291, 0.19463, 0.169785, 0.139648, 0.114832]",False
0,"[ 3.44588043e+02 -7.46016359e+00 -6.92216721e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  1.19125061e-01  1.97294083e+01  3.58916962e+02  1.31043180e+00
  4.52549045e+00  4.61282773e+00  4.13780345e+00  3.16390042e+00]",42,0.59,No collision,"[0.07909, 0.06957, 0.043317, 0.024797, 0, 0, 0.589959, 0.589932, 0.5899, 0.589919, 0.589971, 0.590104]",False
0,"[ 3.46010498e+02 -7.47310495e+00 -6.52259521e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  1.60653889e-01  1.92447643e+01  3.58639862e+02  1.19458335e-04
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",103,0.6,No collision,"[0.589729, 0.58997, 0.58989, 0.599689, 0.589979, 0.589937, 0.59003, 0.58997, 0.589947, 0.589862, 0.590059, 0.374776]",False
0,"[ 3.46010498e+02 -7.47310448e+00 -6.52259521e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  1.60625488e-01  1.92437477e+01  3.58639862e+02  1.18682884e-04
  6.87210054e+01  8.78497628e+00  6.82149003e+01  1.35794905e+01]",43,0.103,No collision,"[0.102523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.46010498e+02 -7.47310448e+00 -6.52259521e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.60581425e-01  1.92427292e+01  3.58639862e+02  1.18316055e-04
  2.22854097e+01  6.29077044e+00  1.45118094e+00  1.28898110e+00]",17,0.785,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.78507, 0.785069, 0.78507, 0.78507, 0.78507]",False
0,"[ 3.46010498e+02 -7.47310448e+00 -6.52259521e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.60540804e-01  1.92417126e+01  3.58639832e+02  1.19766128e-04
  6.02075743e+01  6.29671996e+00  1.81447267e+00  8.53792469e-01]",129,0.785,No collision,"[0.78507, 0.78507, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069, 0.785069]",True
1,"[-35.06328964  -1.53466129 -13.53404617   0.           0.
   0.          12.          -1.           1.22863448 107.73607635
 358.81738281   6.00267311   0.           0.           0.
   0.        ]",114,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-9.03816795e+00 -1.95296872e+00 -2.08355160e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.62281591e-01  1.04441521e+02  2.27522805e-01  1.58810184e-04
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-4.49491787e+00 -1.98682046e+00 -2.20246716e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.10636926e-01  1.04779739e+02  1.01264641e-01  5.40984380e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 37.75031281  -2.81259251 -32.2761879    0.           0.
   0.          12.           1.           1.0181284  102.89949799
 358.31799316   5.6300273    6.02123032   6.28897394   9.98830828
   5.83125823]",93,0.317,No collision,"[0, 0.310516, 0, 0, 0, 0, 0, 0, 0, 0.316682, 0, 0]",False
1,"[ 77.57995605  -3.4784596  -41.91964722   0.           0.
   0.          12.           1.           0.81246501 105.27981567
 359.12219238   9.40382132  59.11810836   6.58031205  54.95084139
  12.92222615]",57,0.312,No collision,"[0.31189, 0, 0, 0, 0, 0, 0, 0, 0, 0.112535, 0.094323, 0.037716]",False
1,"[ 1.28850586e+02 -4.08473778e+00 -5.40418396e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.32927895e-01  1.03316956e+02  6.11539260e-02  6.73128309e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01]",70,0.147,No collision,"[0, 0, 0, 0, 0, 0, 0.053704, 0.107749, 0.146861, 0.136367, 0.069339, 0]",False
1,"[169.63024902  -4.57285547 -64.30857086   0.           0.
   0.          12.          -1.           0.53897166 104.34469604
 359.97058105   7.05145144  72.64515852   7.71083249  68.33033572
  13.88642782]",48,0.776,No collision,"[0, 0.569366, 0.691365, 0.775582, 0.012796, 0.729409, 0.713048, 0.719744, 0.722792, 0.724497, 0.69737, 0.686923]",False
1,"[ 2.13907928e+02 -5.23063421e+00 -7.51562424e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.08653116e+00  1.00823944e+02  1.78811565e-01  9.84666702e+00
  6.11226752e+01  6.53133123e+00  5.14533597e+01  1.08296417e+01]",41,0.744,No collision,"[0.708697, 0.74205, 0.704852, 0.696827, 0.697227, 0.743535, 0.545891, 0.538513, 0.508154, 0.485877, 0.351361, 0.613987]",False
1,"[ 2.66334930e+02 -6.22730112e+00 -8.90215607e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02675247e+00  1.06247108e+02  1.45588785e-01  1.05266757e+01
  6.08076732e+01  8.32454445e+00  5.24980416e+01  1.08296417e+01]",69,0.555,No collision,"[0.468133, 0.376193, 0.441341, 0.524829, 0.527062, 0.555335, 0.488084, 0.44749, 0.313232, 0.177692, 0, 0]",False
1,"[ 340.38592529   -7.42098808 -105.87142181    0.            0.
    0.           12.           -1.            0.85960549   66.51495361
  356.75         11.13721662  100.           10.          100.
   20.        ]",149,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
