Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-4.02040215e+01 -1.39921594e+00 -1.18274965e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.48702466e+00  1.05005379e+02  3.59161865e+02  8.73563891e-04
  6.48488364e+00  8.50000000e-01  4.50000000e-01]",25,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-29.61375618  -1.68778861 -14.74063492   0.           0.
   0.          12.          -1.           2.09721112 105.52158356
 359.29263306   1.44531889   4.35856028   0.85         0.45      ]",33,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-29.61375618  -1.68778861 -14.74063492   0.           0.
   0.          12.          -1.           2.09721112 105.52158356
 359.29263306   1.44531889   4.35815937   0.85         0.45      ]",19,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.94510040e+01 -1.69203281e+00 -1.47869024e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.83625352e+00  1.05530052e+02  3.59234070e+02  6.18150762e-05
  4.27869968e+00  9.00925826e-01  1.70963662e-01]",12,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.94510040e+01 -1.69204283e+00 -1.47874718e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.83627462e+00  1.05530067e+02  3.59233673e+02  6.22381947e-05
  1.33665199e+00  8.50000000e-01  4.50000000e-01]",9,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-12.41316795  -1.92865479 -19.77835464   0.           0.
   0.2         10.          -1.           0.23111013 108.76436615
   0.303855     4.6014932    2.03177871   0.85         0.45      ]",18,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.73237381e+01 -2.61797237e+00 -2.87946720e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01  1.00000000e+00
  8.96006346e-01  1.02614677e+02  3.59352509e+02  5.70653939e+00
  2.88183684e+01  8.50000000e-01  4.50000000e-01]",26,1.0,"[0, 0, 0, 1, 0.050932, 0.05066, 0.050325, 0.05054, 0.05051, 0.050837, 0.050761, 0.050838]",False
0,"[ 3.74152527e+01 -2.78607130e+00 -3.09037418e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  8.62834573e-01  1.00409050e+02  3.59607147e+02  3.30336412e-03
  1.34346687e+00  8.17679723e-01  4.50000000e-01]",29,1.0,"[0.050923, 0.051762, 0.051801, 0.051445, 0.051519, 0.999955, 0.050994, 0.999952, 0.99995, 0.999947, 0.999944, 0]",False
0,"[ 3.64968605e+01 -2.76907945e+00 -3.07291470e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  8.88853431e-01  1.00418663e+02  3.59498779e+02  1.84305407e-03
  1.34306828e+00  9.85180035e-01  4.50000000e-01]",51,1.0,"[0.999943, 0.999943, 0.999943, 0.999942, 0.999942, 0, 0.999942, 0.999941, 0.999941, 0.999941, 0.99994, 0.999939]",False
0,"[ 3.60576782e+01 -2.76236153e+00 -3.06594238e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  9.31812942e-01  1.00451927e+02  3.59465607e+02  2.02177967e-01
  1.35788030e+00  9.66675848e-01  4.50000000e-01]",51,1.0,"[0.999938, 0.999937, 0.999935, 0.999933, 0.999931, 0.999929, 0.999926, 0.999923, 0.99992, 0.999916, 0, 1]",False
0,"[ 3.32261353e+01 -2.72733402e+00 -3.01076469e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.00000000e+01 -1.00000000e+00
  3.59747620e+02  9.98361511e+01  1.41439033e+00  4.12349523e+00
  4.40247107e+00  9.55292537e-01  4.50000000e-01]",50,1.0,"[1, 0.999953, 0.999951, 0.999945, 0, 0.999936, 0.99993, 0.999923, 0.999917, 0.999915, 0.99991, 0.999904]",False
