Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-37.58761978  -1.46687341 -12.53640079   0.           0.
   0.          12.          -1.           1.29743886 105.13299561
 359.05334473   3.3550496 ]",100,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.80183315e+01 -1.72624767e+00 -1.51987133e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.35791016e+00  1.05746124e+02  3.59373901e+02  1.60478208e-03]",36,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-23.63960075  -1.81511307 -16.44548798   0.           0.
   0.          12.          -1.           0.79859507 105.70879364
 359.80297852   3.04271608]",105,0.597,No collision,"[0.26586, 0.597162, 0, 0, 0, 0, 0, 0, 0.254134, 0.58128, 0.590403, 0.589099]",False
0,"[ 19.39180756  -2.4825592  -28.152174     0.           0.
   0.          12.           1.           1.25320637  99.97943115
 358.7817688    5.92353246]",145,0.458,No collision,"[0.457721, 0.258351, 0.084537, 0.057787, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 65.43469238  -3.26022267 -36.89818573   0.5          0.
   0.5         12.           1.           1.015257    92.19702148
 359.82839966   8.39710613]",55,0.692,No collision,"[0, 0, 0, 0.017884, 0.396312, 0.69225, 0.640336, 0.473132, 0.345323, 0.204523, 0.222373, 0.217022]",False
0,"[ 1.25555740e+02 -4.04812527e+00 -5.37997398e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  7.07559109e-01  1.03358162e+02  3.78898643e-02  9.27594184e+00]",1,1.0,No collision,"[0, 0, 0.054604, 0.322666, 0.630241, 0.6935, 0.999976, 0.999947, 0.999899, 0.999831, 0.999743, 0.999636]",False
0,"[ 1.98031006e+02 -4.96346378e+00 -7.17932587e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.08536029e-01  1.05129829e+02  8.96458700e-02  1.85696493e+01]",51,0.999,No collision,"[0.999488, 0.999367, 0.999273, 0.999177, 0.999082, 0.998986, 0.99889, 0.998797, 0.99871, 0.998629, 0, 0]",False
0,"[ 299.30099487   -6.58858967 -106.55263519    0.5           0.
    0.5          12.           -1.          357.24429321  129.92320251
    8.49995327   14.26507316]",150,0.998,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.998413, 0, 0]",False
0,"[ 3.05213165e+02 -6.41310549e+00 -1.11388130e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.00902814e-01  1.26373787e+02  2.43530345e+00  3.63308546e-04]",72,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05213135e+02 -6.41270351e+00 -1.11388298e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.85619736e-01  1.26389755e+02  2.45920610e+00  4.01711882e-05]",87,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05213135e+02 -6.41271162e+00 -1.11388298e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  2.85126954e-01  1.26402802e+02  2.45852709e+00  3.81640135e-05]",125,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05212616e+02 -6.41274071e+00 -1.11388168e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  2.85551906e-01  1.26419006e+02  2.45513773e+00  4.45839566e-05]",146,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05212616e+02 -6.41273832e+00 -1.11388168e+02  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  2.84680903e-01  1.26432404e+02  2.45497632e+00  3.70311739e-05]",86,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05212646e+02 -6.41275406e+00 -1.11388161e+02  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.84487784e-01  1.26445274e+02  2.45369339e+00  3.77671656e-05]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.05212646e+02 -6.41277075e+00 -1.11388153e+02  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.84324557e-01  1.26458138e+02  2.45232105e+00  3.90115304e-05]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-38.93321609  -1.43278193 -12.16802788   0.           0.
   0.          12.          -1.           1.17732561 105.01367188
 359.07867432   3.30297527]",84,1.0,SUV(Clone)f4541ff4-2c4c-4767-b2d2-7bb0e212f391,"[0, 0, 0.563481, 1, 0.155364, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.94050846e+01 -1.69316661e+00 -1.47930737e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.83152103e+00  1.05524529e+02  3.59227966e+02  5.92058153e-05]",83,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.94050827e+01 -1.69317615e+00 -1.47936440e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.83153021e+00  1.05524536e+02  3.59227631e+02  5.94739804e-05]",130,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-2.94050827e+01 -1.69318581e+00 -1.47942142e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.83153665e+00  1.05524544e+02  3.59227264e+02  5.93436857e-05]",47,0.776,No collision,"[0, 0.724602, 0.776378, 0.090237, 0.278734, 0.372989, 0.434155, 0.266016, 0.067159, 0.10267, 0.06676, 0]",False
1,"[  8.90108013  -2.27496076 -25.66410828   0.           0.
   0.          12.           1.           1.47163606 105.64459229
 359.8130188   11.35459421]",137,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 63.94013596  -3.2246871  -34.45904922   0.           0.
   0.          12.           1.           0.99561888  97.63010406
   0.23764126   5.95158928]",121,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 93.36525726  -3.69255066 -44.25405121   0.           0.
   0.          12.          -1.           0.76446909 107.96009827
 359.99197388   3.24879564]",138,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.21812302e+02 -4.01228571e+00 -5.27936630e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.49930665e-01  1.06315628e+02  3.59982239e+02  1.20019687e+01]",131,1.0,Jeep(Clone)30667b54-2671-4e3b-ae7d-6ab320b028e2,"[0.653315, 1, 1, 0.137208, 0.146972, 0.211344, 0.215972, 0.195396, 0.212143, 0.197383, 0.337996, 0.502708]",False
1,"[159.04669189  -4.46511126 -62.14389801   0.           0.
   0.          12.          -1.           0.46110806 102.41339874
 359.65899658   9.68098653]",76,0.84,No collision,"[0.840142, 0.622801, 0.204631, 0.109019, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.14856659e+02 -5.25266695e+00 -7.61690598e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.38019967e+00  1.04087196e+02  3.80872227e-02  4.53078183e+00]",52,0.614,No collision,"[0, 0.362132, 0.515779, 0.614229, 0, 0, 0, 0, 0.036633, 0.46766, 0.455077, 0.107153]",False
1,"[278.48150635  -6.46324539 -93.97635651   0.           0.
   0.          12.           1.           1.31256294 111.74105072
   0.3151634   13.51582609]",109,1.0,SchoolBus(Clone)75b1fdd0-7407-4572-ae2a-0cf225cf302e,"[0.17018, 0.28106, 0.4791, 0.627277, 1, 1, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.00294220e+02 -6.83401871e+00 -1.04988670e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.61744606e-01  1.14727562e+02  9.57893848e+00  2.72303045e-04]",80,0.913,No collision,"[0, 0, 0, 0, 0, 0.912548, 0, 0, 0, 0, 0, 0]",False
1,"[ 3.00293549e+02 -6.83462524e+00 -1.04986893e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.04494131e-01  1.14813408e+02  9.85404396e+00  1.79738841e-04]",79,0.913,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.912632, 0, 0, 0, 0]",False
1,"[ 3.00293091e+02 -6.83450460e+00 -1.04987511e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.22185862e-01  1.14828278e+02  9.98942947e+00  2.07721748e-04]",117,0.353,No collision,"[0, 0.261618, 0.352639, 0.352589, 0.352586, 0.352586, 0.352587, 0.352578, 0.352578, 0.35258, 0.352582, 0.352593]",False
1,"[ 3.00293427e+02 -6.83352041e+00 -1.04987526e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.67315197e-01  1.14832008e+02  9.97407532e+00  9.97498749e-04]",94,0.353,No collision,"[0.352592, 0.352598, 0.352608, 0.352607, 0.352615, 0.352611, 0.352613, 0.352613, 0.352609, 0.352609, 0.352605, 0.352611]",True
2,"[-38.80815125  -1.43571794 -12.1776762    0.           0.
   0.          12.          -1.           1.21660137 104.55420685
 359.08187866   2.96935332]",84,1.0,SUV(Clone)b9243b3b-9e97-4ee1-88b8-23f00c3cef08,"[0, 0, 0.59267, 1, 0.134177, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.86463261e+01 -1.70830083e+00 -1.49248524e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59791994e+00  1.05330757e+02  3.59339752e+02  6.30398012e-05]",95,0.162,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.162225, 0, 0, 0, 0]",False
2,"[-2.86463242e+01 -1.70831156e+00 -1.49254227e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59790611e+00  1.05330765e+02  3.59339478e+02  6.32702181e-05]",71,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.86463242e+01 -1.70832181e+00 -1.49259930e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59789193e+00  1.05330772e+02  3.59339172e+02  6.33543140e-05]",151,0.447,No collision,"[0, 0.447157, 0.29485, 0, 0.004235, 0, 0, 0.101904, 0.138131, 0.16212, 0.066683, 0]",False
