Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.75028992  -1.43763196 -12.22040749   0.           0.
   0.          12.          -1.           1.15351403 105.07689667
 359.06072998   3.35590296]",102,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.54806118e+01 -1.78218555e+00 -1.59056263e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02907920e+00  1.05715698e+02  3.59558746e+02  4.84645110e-05]",98,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.41615334e+01 -1.80296290e+00 -1.62836304e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.10512745e+00  1.05665245e+02  3.59762543e+02  1.31730179e-03]",91,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.41612473e+01 -1.80311751e+00 -1.62839661e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.00562727e+00  1.05665359e+02  3.59766022e+02  3.70921969e-05]",51,0.596,No collision,"[0, 0.595999, 0, 0, 0, 0, 0, 0, 0.002273, 0.055782, 0, 0]",False
0,"[ 11.47591782  -2.34379077 -26.39876366   0.           0.
   0.          12.           1.           1.39019442 105.57994843
 359.80691528  11.8104109 ]",115,0.426,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.159894, 0.337393, 0.375349, 0.426095, 0.308848]",False
0,"[ 5.33615685e+01 -3.05302835e+00 -3.49288368e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.45728254e-01  1.03440491e+02  7.22014159e-02  3.46106906e+00]",97,0.181,No collision,"[0.144972, 0, 0, 0, 0, 0, 0, 0, 0.18086, 0, 0, 0]",False
0,"[ 99.30176544  -3.77545023 -47.21966171   0.           0.
   0.          12.          -1.           0.70298648 103.36586761
 359.62484741   8.09018922]",22,0.455,No collision,"[0, 0, 0, 0.06875, 0.354652, 0.431946, 0.454962, 0, 0, 0.017334, 0.055315, 0.084003]",False
0,"[132.26150513  -4.12941885 -55.11881256   0.           0.
   0.          12.          -1.           0.79728276 103.57466888
 359.9710083    3.01084334]",138,0.221,No collision,"[0.105725, 0.126411, 0.149563, 0.158957, 0.154218, 0.115618, 0.079569, 0.052644, 0.141706, 0.180447, 0.207672, 0.220701]",False
0,"[147.26651001  -4.32492638 -58.78876495   0.           0.
   0.          12.          -1.           0.72199434 103.81432343
 359.94268799   1.57467286]",35,0.501,No collision,"[0.501314, 0.253807, 0.295724, 0, 0.330683, 0.337379, 0.340877, 0.341561, 0.341763, 0.341791, 0.341401, 0.341564]",False
0,"[ 1.48666107e+02 -4.34295845e+00 -5.91333427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.72148407e-01  1.03818924e+02  3.59919952e+02  2.16950487e-05]",49,0.343,No collision,"[0.341717, 0.34112, 0.341891, 0.342026, 0.34099, 0.342715, 0.341754, 0.341754, 0.341754, 0.341754, 0.341755, 0.341755]",False
0,"[ 1.48666107e+02 -4.34295893e+00 -5.91333427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.72145903e-01  1.03818924e+02  3.59919952e+02  2.15160651e-05]",44,0.342,No collision,"[0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341756, 0.341756, 0.342118, 0.341758]",False
0,"[ 1.48666107e+02 -4.34295893e+00 -5.91333427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.72147751e-01  1.03818924e+02  3.59919952e+02  1.91296963e-05]",41,0.342,No collision,"[0.341756, 0.341768, 0.341757, 0.341757, 0.341757, 0.341757, 0.341757, 0.341914, 0.341758, 0.341758, 0.342059, 0.341927]",False
0,"[ 1.48666107e+02 -4.34295845e+00 -5.91333427e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.72146380e-01  1.03818924e+02  3.59919952e+02  1.90489464e-05]",147,0.342,No collision,"[0.341757, 0.34178, 0.341757, 0.341757, 0.34178, 0.341755, 0.34177, 0.341755, 0.341755, 0.341755, 0.341755, 0.342202]",False
0,"[ 1.48666107e+02 -4.34295893e+00 -5.91333427e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.72145665e-01  1.03818924e+02  3.59919952e+02  1.93051302e-05]",51,0.342,No collision,"[0.341755, 0.342483, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341755, 0.341754, 0.341754, 0.341754]",False
0,"[ 1.48666107e+02 -4.34295845e+00 -5.91333427e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.72148287e-01  1.03818924e+02  3.59919952e+02  2.04861706e-05]",146,0.342,No collision,"[0.341754, 0.341754, 0.341754, 0.341754, 0.341753, 0.341753, 0.341753, 0.341753, 0.341753, 0.341753, 0.341752, 0.341752]",True
1,"[-38.29867172  -1.44919777 -12.34399986   0.           0.
   0.          12.          -1.           1.19937563 105.12031555
 359.04653931   3.69633157]",123,0.509,No collision,"[0, 0.509029, 0, 0, 0, 0, 0, 0, 0, 0.028408, 0, 0]",False
1,"[-2.32623062e+01 -1.82398450e+00 -1.65392685e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02306485e+00  1.05818420e+02  3.59810303e+02  3.95526879e-05]",96,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
