Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.97154961e+01 -1.41214025e+00 -1.19595995e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.38297379e+00  1.05041695e+02  3.59136658e+02  1.00999011e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.33977258e+00  1.31222831e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.44135843e-01 -1.23199238e-01  1.00000000e+00]",30,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.04059429e+01 -1.66247022e+00 -1.45241728e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.73352849e+00  1.05505791e+02  3.59257355e+02  6.05629249e-05
  1.00000000e+00  1.00000000e+00  1.91980350e+01  9.98316597e+00
  1.26480544e+01  1.91980350e+01  3.28906455e+00  1.29743383e+00
  2.45123443e+00  3.17231105e+00  8.95773786e+00  1.15843599e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.97943769e+01  1.00000000e+02
 -3.30008414e-01 -3.00000000e+00  1.00000000e+00]",84,0.005,No collision,"[0, 0, 0, 0, 0.003088, 0.005006, 0.005249, 0.005274, 0.005271, 0.00526, 0.00526, 0.005255]",False
0,"[-3.04059410e+01 -1.66247976e+00 -1.45247421e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.73343015e+00  1.05505806e+02  3.59256989e+02  6.26200686e-05
  2.00000000e+00  2.00000000e+00  6.35313797e+00  0.00000000e+00
  1.78319796e+01  3.37380086e+01  3.28854474e+00  1.29726609e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99975866e+01  1.00000000e+02
 -3.30008414e-01 -3.00000000e+00  1.00000000e+00]",95,0.005,No collision,"[0.005223, 0.005224, 0.005214, 0.005214, 0.005214, 0.005209, 0.005206, 0.005202, 0.005199, 0.005195, 0.005191, 0.005188]",False
0,"[-3.04059410e+01 -1.66248965e+00 -1.45253124e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.73346388e+00  1.05505806e+02  3.59256622e+02  6.26039944e-05
  3.00000000e+00  3.00000000e+00  6.35314251e+00  9.53674316e-05
  1.78319753e+01  3.37382546e+01  3.28861490e+00  1.29709896e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99984185e+01  1.00000000e+02
 -3.30008414e-01 -3.00000000e+00  1.00000000e+00]",58,0.817,No collision,"[0.005199, 0.076728, 0.238215, 0.397563, 0.58345, 0.784376, 0.817344, 0.575941, 0.60432, 0.625903, 0.420992, 0]",False
0,"[  7.84945917  -2.24656725 -25.33633804   0.           0.
   0.          12.           1.           1.45281911 105.66727448
 359.84207153  10.4740392    3.           3.          15.29054719
  18.98370383  18.10236682  15.29054719   2.64919723   1.29822562
   5.42518061   6.34704189   8.61346433   1.87083422   0.
   0.           2.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
   0.51726363   1.88387648   1.        ]",85,0.357,No collision,"[0.357419, 0.082537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.90851898e+01 -3.17024088e+00 -3.76124382e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.21328306e-01  1.04634041e+02  3.58905426e+02  8.95107640e+00
  4.00000000e+00  4.00000000e+00  7.01128062e+01  6.70076691e+00
  1.27043017e+01  7.01128062e+01  2.42892820e+01  1.42312286e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.52734803e-01  6.52576062e-01  1.00000000e+00]",87,0.903,No collision,"[0, 0, 0, 0, 0.15983, 0.903464, 0.578738, 0.105135, 0, 0, 0, 0]",False
0,"[ 1.18231186e+02 -3.97853804e+00 -5.15860329e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.37940025e-01  1.04041824e+02  3.59969788e+02  1.11497119e+01
  5.00000000e+00  5.00000000e+00  1.22201765e+01  1.14209082e+01
  1.00463263e+02  1.29056425e+02  3.79170825e+00  1.33133225e+00
  1.65213692e+00  6.27769058e+00  7.52775252e+00  7.65987508e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.55817455e-02  2.91865377e-01  1.00000000e+00]",140,0.859,No collision,"[0.090506, 0.684633, 0.858789, 0.650453, 0.447122, 0.229207, 0.012411, 0, 0, 0, 0, 0]",False
0,"[ 1.86881393e+02 -4.79343700e+00 -6.90289001e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.58178473e-01  1.04527229e+02  8.36652964e-02  1.24064122e+01
  6.00000000e+00  6.00000000e+00  1.25188655e+01  1.29099567e+01
  1.00492609e+02  1.99280258e+02  2.23632884e+00  1.31810778e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.85608793e-02  2.54412318e-01  1.00000000e+00]",149,0.867,No collision,"[0.399831, 0.867463, 0.684708, 0.386198, 0.021047, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.61242493e+02 -6.13895321e+00 -8.84807129e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.79505837e-01  1.04935974e+02  9.33798105e-02  1.30313102e+01
  6.00000000e+00  6.00000000e+00  1.26136399e+01  1.26560779e+01
  9.94658831e+01  2.75887954e+02  1.60005921e+00  1.31614953e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.28315724e-01  2.47661959e-02  1.00000000e+00]",16,0.989,No collision,"[0.91951, 0.989042, 0.979328, 0.759212, 0.40134, 0, 0, 0, 0.217911, 0.359587, 0.540299, 0.113353]",False
0,"[ 3.13417725e+02 -6.72338486e+00 -8.64765091e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.45845222e+00  1.46695385e+01  3.59674957e+02  2.03317659e+00
  7.00000000e+00  7.00000000e+00  2.40572530e+01  1.56405871e+01
  1.00594785e+02  3.25198494e+02  3.64074112e+00  6.01541991e+00
  5.16198750e+01  6.55532133e+00  6.27203493e+01  1.14002683e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.81798980e+01  1.00000000e+02
 -2.89587947e+00 -5.53969399e-02  1.00000000e+00]",93,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
