Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.83966370e+01 -1.44658422e+00 -1.23177586e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.34103155e+00  1.05127998e+02  3.59046326e+02  2.36796565e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  2.21392229e+00  1.31212290e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.45325970e-01 -1.28187857e-01  1.00000000e+00]",111,0.158,No collision,"[0, 0, 0, 0, 0.158371, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.17219563e+01 -1.62176192e+00 -1.41614294e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59684598e+00  1.05499321e+02  3.59192474e+02  5.68119952e-05
  1.00000000e+00  1.00000000e+00  3.47772728e+01  9.98410702e+00
  1.72257201e+01  3.47772728e+01  1.92387701e+00  1.28158389e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99934376e+01  1.00000000e+02
 -3.80928693e-01 -3.00000000e+00  1.00000000e+00]",51,0.183,No collision,"[0, 0, 0.142734, 0.181067, 0.182815, 0.182888, 0.182889, 0.182888, 0.182888, 0.182888, 0.182888, 0.182888]",False
0,"[-3.17219563e+01 -1.62176192e+00 -1.41614294e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59684515e+00  1.05499321e+02  3.59192474e+02  5.65934037e-05
  2.00000000e+00  2.00000000e+00  5.04881555e+00  1.19209290e-05
  1.36451753e+01  3.47772728e+01  1.92366630e+00  1.28158124e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99991645e+01  1.00000000e+02
 -3.80928693e-01 -3.00000000e+00  1.00000000e+00]",99,0.183,No collision,"[0.182869, 0.182868, 0.182869, 0.182867, 0.182868, 0.182867, 0.182868, 0.182868, 0.182867, 0.182868, 0.182868, 0.182864]",False
0,"[-3.17219563e+01 -1.62176192e+00 -1.41614294e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59684551e+00  1.05499321e+02  3.59192474e+02  5.67694876e-05
  2.00000000e+00  2.00000000e+00  5.04883113e+00  9.83024985e-05
  1.36451709e+01  3.47772728e+01  1.92362007e+00  1.28158060e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99990621e+01  1.00000000e+02
 -3.80928693e-01 -3.00000000e+00  1.00000000e+00]",101,0.996,No collision,"[0.182859, 0.205028, 0.336338, 0.498987, 0.684366, 0.996441, 0.921123, 0.922819, 0.925079, 0.88157, 0.643392, 0.202092]",False
0,"[ 10.23171329  -2.30854511 -25.83073425   0.           0.
   0.          12.           1.           1.4298439  105.40351868
 359.83740234  12.31950039   2.           2.          27.87909915
   9.98410702  17.22572007  27.87909915   4.13121445   1.28931237
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          30.62807058   0.         100.
   0.42924298   1.34558874   1.        ]",112,0.11,No collision,"[0.094104, 0, 0, 0, 0, 0.109574, 0.08309, 0, 0, 0, 0, 0]",False
0,"[ 6.98449860e+01 -3.41542602e+00 -4.26833153e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  8.12727988e-01  1.00099152e+02  3.58580048e+02  1.14386533e+01
  3.00000000e+00  3.00000000e+00  8.19258970e+01  9.98410702e+00
  1.72257201e+01  8.19258970e+01  4.65556356e+01  1.41080686e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  5.38755200e+00  3.36375561e-01  1.00000000e+00]",31,0.551,No collision,"[0, 0, 0.421307, 0.401776, 0.550871, 0.204557, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.40964310e+02 -4.22728539e+00 -5.48106422e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.87799132e-01  1.12043907e+02  1.94079220e-01  1.26065777e+01
  4.00000000e+00  4.00000000e+00  1.19461430e+02  1.43779890e+01
  1.17997139e+01  1.51304372e+02  1.07610300e+02  1.29648431e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  4.38565136e-02  2.99659343e-01  1.00000000e+00]",4,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.46117432e+02 -5.89697790e+00 -8.51858368e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.75494576e-01  1.00258751e+02  3.59526031e+02  1.99416225e+01
  5.00000000e+00  5.00000000e+00  2.31601612e+02  8.70302929e-03
  1.53523447e+02  2.60509484e+02  2.57780004e+01  1.29918775e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.49497667e+01  1.00000000e+02
 -2.79973125e-01 -2.86865700e+00  1.00000000e+00]",81,0.915,No collision,"[0, 0.181656, 0.801766, 0.914733, 0.672374, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.30884369e+02 -7.27971554e+00 -1.02357925e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.05676401e-01  5.72243004e+01  3.57661682e+02  9.08536296e+00
  6.00000000e+00  6.00000000e+00  4.25818477e+01  7.82143135e+00
  1.40631680e+01  3.37942511e+02  1.40208509e+00  5.63613279e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.04419735e+01  0.00000000e+00  1.00000000e+02
  3.56342289e+01  7.90872839e-02  1.00000000e+00]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.43935486e+02 -7.42249489e+00 -6.03879166e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  4.07067984e-01  2.27294369e+01  3.58970215e+02  5.14105442e+00
  7.00000000e+00  7.00000000e+00  4.41251574e+01  1.00012895e+01
  1.28059129e+01  3.49275554e+02  9.46340928e+00  1.30440351e-01
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.68150790e+01  1.00000000e+02
 -3.91402501e-01 -6.61321861e-01  1.00000000e+00]",1,1.0,74c599fd-799a-41c7-a504-554c5200b988,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",False
