Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.98688431e+01 -1.40807271e+00 -1.19173737e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.40489900e+00  1.05012230e+02  3.59149109e+02  3.07739724e-01]",5,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.92824020e+01 -1.42354321e+00 -1.20807114e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.42495894e+00  1.05072784e+02  3.59094269e+02  8.80637440e-04]",15,0.037,No collision,"[0, 0, 0.005419, 0.036304, 0.036799, 0.036791, 0.036789, 0.03679, 0.036792, 0.036793, 0.005521, 0]",False
0,"[-37.8040657   -1.46155739 -12.48327446   0.           0.
   0.          12.          -1.           1.16118145 105.14322662
 359.04702759   3.43866968]",60,0.307,No collision,"[0.307195, 0, 0, 0, 0, 0.280219, 0, 0, 0, 0, 0, 0]",False
0,"[-29.48384476  -1.6912837  -14.78654957   0.           0.
   0.          12.           1.           1.81003177 105.5190506
 359.24438477   0.6458409 ]",75,0.806,No collision,"[0.236341, 0.622925, 0.731767, 0.036462, 0.016241, 0, 0, 0.127635, 0.337095, 0.462674, 0.695624, 0.806017]",False
0,"[  2.08923388  -2.11512828 -23.76429558   0.           0.
   0.          12.          -1.           1.00460255 105.79564667
 359.9703064   14.17908545]",5,0.839,No collision,"[0.826799, 0.838573, 0.830132, 0.791759, 0.785722, 0.757778, 0.700017, 0.572791, 0.436832, 0.234083, 0.085218, 0.085809]",False
0,"[ 82.36729431  -3.51430082 -40.12145615   0.           0.
   0.          12.           1.           0.93095767  92.33317566
 359.41247559   8.04456073]",98,0.803,No collision,"[0.452741, 0.521203, 0.803262, 0.585596, 0.093103, 0.267711, 0, 0, 0, 0, 0.0824, 0.324906]",False
0,"[ 1.20772079e+02 -4.01062250e+00 -4.82976418e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.40090930e-01  1.03755539e+02  3.59903198e+02  1.37868047e+01]",129,0.763,No collision,"[0.472977, 0.571641, 0.587028, 0.668901, 0.763007, 0.593207, 0.562618, 0.437931, 0.314207, 0.235594, 0, 0]",False
0,"[ 1.77165649e+02 -4.80870485e+00 -8.12440262e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.01511788e+00  1.39854874e+02  3.59661835e+02  3.69522216e-03]",50,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77159531e+02 -4.80362511e+00 -8.12592850e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.65633976e+00  1.39603851e+02  3.59810394e+02  1.90571657e-03]",56,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77152222e+02 -4.80634928e+00 -8.12723846e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.60332763e+00  1.39314774e+02  3.59757874e+02  9.42303323e-03]",115,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77130844e+02 -4.80726719e+00 -8.13041229e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.58628106e+00  1.38408752e+02  3.59737091e+02  6.43558866e-03]",70,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77113922e+02 -4.80789804e+00 -8.13301315e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.55481899e+00  1.37701508e+02  3.59800751e+02  7.78183003e-03]",86,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.77097260e+02 -4.80848217e+00 -8.13563461e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.52571177e+00  1.36983521e+02  3.59858307e+02  4.67818053e-03]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
