Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-39.84255981  -1.40878439 -11.92533112   0.           0.
   0.          12.          -1.           1.41012502 105.05188751
 359.14718628   0.89022301]",112,0.662,No collision,"[0, 0.662232, 0.202338, 0.137377, 0.018623, 0.003916, 0.0117, 0.018912, 0, 0, 0.023558, 0]",False
0,"[-33.90069199  -1.56212449 -13.55522823   0.           0.
   0.          12.          -1.           1.4728471  105.3208847
 359.11816406   4.07567607]",143,0.284,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.026836, 0.217535, 0.284432, 0.23712, 0.160373]",False
0,"[ 15.45629406  -2.4220767  -27.5440464    0.           0.
   0.          12.          -1.           0.67487717 104.93366241
 359.71188354  13.98941785]",128,0.728,No collision,"[0.489373, 0.727918, 0.095348, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 85.19158936  -3.57456183 -42.93022156   0.           0.
   0.          12.           1.           0.90062398 130.53320312
   0.18227209   9.32701903]",3,1.0,OBSTACLE,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",False
0,"[ 1.01973473e+02 -3.69619727e+00 -5.44727402e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58541748e+02  1.25457352e+02  2.84770179e+00  8.70978983e-03]",134,1.0,OBSTACLE,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False
0,"[ 1.02098701e+02 -3.69177222e+00 -5.44751320e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58927277e+02  1.25648148e+02  3.58071542e+00  2.65663076e-01]",105,0.732,No collision,"[0, 0, 0.731775, 0.573277, 0.395371, 0, 0.024742, 0, 0, 0, 0, 0]",False
0,"[ 1.02271545e+02 -3.69144559e+00 -5.44981766e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59300110e+02  1.25494034e+02  4.00400591e+00  8.75600028e-03]",148,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02271957e+02 -3.69161510e+00 -5.44953766e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59297852e+02  1.25497978e+02  3.99908137e+00  3.00920738e-04]",17,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02271980e+02 -3.69175434e+00 -5.44930725e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59295959e+02  1.25501747e+02  3.99485469e+00  3.01167307e-04]",64,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.02272003e+02 -3.69189358e+00 -5.44907684e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59294037e+02  1.25505531e+02  3.99065638e+00  3.01753941e-04]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-38.18118668  -1.45214963 -12.3746376    0.           0.
   0.          12.          -1.           1.17323422 105.10184479
 359.04858398   3.84365168]",17,0.419,No collision,"[0, 0.418931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ -5.40699196  -1.97419405 -21.59009743   0.           0.
   0.          12.           1.           0.17301746 105.92118835
   0.14043809   8.08511674]",88,0.423,No collision,"[0, 0.139192, 0.422736, 0.377631, 0.137391, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 43.80699158  -2.89616537 -32.77364349   0.           0.
   0.          12.          -1.           0.96770614 102.02442932
 359.83459473   5.81468528]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[102.30728149  -3.80952835 -47.41068649   0.           0.
   0.5         12.           1.           0.45662585  92.44803619
 359.34033203  17.87489337]",152,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[196.8964386   -5.05131197 -59.63220215   0.           0.
   1.          12.           1.         358.37243652 103.12957001
   1.94538414   4.44521373]",27,0.255,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.25545, 0.011328, 0, 0]",False
1,"[ 1.97922272e+02 -4.99469662e+00 -5.98680420e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.58410736e+02  1.03133614e+02  1.57646525e+00  3.50363953e-04]",150,0.26,No collision,"[0, 0, 0, 0, 0, 0, 0.260035, 0, 0, 0, 0, 0]",False
1,"[ 1.97922272e+02 -4.99468184e+00 -5.98680420e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58409973e+02  1.03139977e+02  1.57601941e+00  3.50702791e-04]",55,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.97922272e+02 -4.99467754e+00 -5.98680382e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58409729e+02  1.03146355e+02  1.57500732e+00  3.54613681e-04]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.97922272e+02 -4.99467659e+00 -5.98680344e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.58409576e+02  1.03152527e+02  1.57415879e+00  3.50760281e-04]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.97922272e+02 -4.99467468e+00 -5.98680267e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.58409485e+02  1.03158737e+02  1.57319212e+00  3.53294116e-04]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-38.38113403  -1.44711792 -12.31808853   0.           0.
   0.          12.          -1.           1.14829051 105.05895233
 359.05059814   3.9799107 ]",150,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-2.24117756e+01 -1.83543789e+00 -1.67837982e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.82620454e-01  1.05882126e+02  3.59738739e+02  8.80735050e-03]",38,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.86818027e+01 -2.68306804e+00 -3.10395050e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.13480699e-01  1.03912445e+02  3.58662903e+02  1.35337883e+01]",25,0.439,No collision,"[0, 0, 0.439197, 0.431246, 0, 0.126018, 0, 0, 0, 0, 0, 0]",False
2,"[ 77.14920044  -3.43067503 -37.64200592   0.           0.
   0.2         12.           1.           0.79840678 106.37784576
   0.27027112   7.37489835]",138,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.02280045e+02 -3.79053164e+00 -4.50227661e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  5.17842114e-01  1.05991402e+02  3.59824371e+02  1.84368282e+00]",117,0.633,No collision,"[0.632666, 0, 0, 0, 0, 0, 0.074995, 0, 0, 0, 0, 0]",False
2,"[ 1.50050278e+02 -4.35651493e+00 -5.86298332e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  6.13918841e-01  1.05502060e+02  3.59827515e+02  8.88165020e+00]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.10350555e+02 -5.16347599e+00 -7.48743668e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.81285810e-01  1.04843506e+02  2.13364124e-01  1.12433282e+01]",54,0.862,No collision,"[0.316739, 0.795907, 0.85221, 0.861807, 0.763353, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.67029358e+02 -6.24197912e+00 -8.99585800e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.63807821e-01  1.05171684e+02  8.46117735e-02  8.86906844e+00]",147,0.197,No collision,"[0, 0, 0.196984, 0, 0, 0, 0, 0, 0, 0.069949, 0, 0]",False
2,"[ 3.20275238e+02 -7.12826824e+00 -1.04331146e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.11070597e+00  1.02162819e+02  3.59800659e+02  6.93386825e+00]",104,0.343,No collision,"[0.032334, 0.003572, 0.163548, 0.203933, 0, 0.061224, 0.342985, 0.168868, 0, 0, 0, 0]",False
