Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-33.9756012   -1.5595001  -13.51089668   0.           0.
   0.          12.          -1.           1.42015767 105.18914032
 359.14151001   6.18681561   5.36633868   1.305813  ]",39,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 12.99218655  -2.37460828 -26.66249847   0.           0.
   0.          12.          -1.           1.18919861 105.20807648
 359.89108276  11.26405503  24.31721291   1.29657802]",4,1.0,"[0, 0, 0, 0, 0, 0, 0.999766, 0.999766, 0.999766, 0, 0, 0]",False
0,"[ 66.67541504  -3.27217865 -35.50299835   0.5          0.
   0.5         12.          -1.           0.72229534  90.27561188
 359.9357605    9.58490758  28.05372523   1.48690676]",49,0.999,"[0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371, 0.999371]",False
0,"[133.06834412  -4.14040136 -55.12957001   0.5          0.
   0.5         12.           1.           0.97659916 104.88436127
 359.8742981    9.86249475  10.86638075   1.28190842]",31,0.999,"[0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614, 0.998614]",False
0,"[192.14233398  -4.87773848 -71.07157135   0.5          0.
   0.5         12.           1.           0.97002828 106.98141479
 359.80221558   8.1945668   58.72802475   1.31151785]",44,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.95361740e+02 -4.92839479e+00 -7.20467377e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  8.50772440e-01  1.06653938e+02  3.59618286e+02  8.09846091e-05
  5.76087705e+01  1.31029501e+00]",29,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.95361740e+02 -4.92839479e+00 -7.20467377e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  8.50772560e-01  1.06653938e+02  3.59618286e+02  8.09592304e-05
  1.34327326e+00  1.28187683e+00]",33,1.0,"[0, 0, 0.999921, 1, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.95584885e+02 -4.93305826e+00 -7.21300812e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.80495381e-01  1.06254654e+02  3.59528351e+02  3.80355729e-03
  1.26436803e+01  1.30239718e+00]",38,0.854,"[0.854499, 0.854497, 0.854469, 0.854452, 0.854441, 0.854414, 0.854471, 0.854401, 0.854414, 0.854384, 0.854384, 0.854395]",False
0,"[ 1.95581314e+02 -4.93325377e+00 -7.21486206e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.58761764e-01  1.05916214e+02  3.59540253e+02  6.96664798e-03
  1.34386860e+00  1.29510751e+00]",40,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999923, 0]",False
0,"[ 1.95579559e+02 -4.93474245e+00 -7.21585464e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.65594876e-01  1.05864578e+02  3.59468658e+02  2.51987253e-03
  1.34446499e+00  1.29633559e+00]",51,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
