Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.84853745  -1.43488693 -12.19448566   0.           0.
   0.          12.          -1.           1.41781795 105.09291077
 359.06106567   0.76412545]",0,0.701,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.053423, 0.361695, 0.609849, 0.700704]",False
0,"[-24.96218872  -1.78974128 -16.05480194   0.           0.
   0.          12.          -1.           1.08150387 105.67319489
 359.61428833   1.91517332]",51,1.0,No collision,"[0.585437, 0.406198, 0.999958, 0.999945, 0.999929, 0.999917, 0.999905, 0.999898, 0.999899, 0, 0, 0]",False
0,"[-1.94596672e+01 -1.86757541e+00 -1.76200809e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.02441835e-01  1.05892654e+02  3.59717987e+02  2.21405320e-05]",21,1.0,378a8324-c30f-4b34-904f-5af9b5ef5bd0,"[0, 0, 0, 0, 0, 0, 0.039413, 0.135161, 0.229306, 0.324723, 0.414793, 1]",False
0,"[-20.13565445  -1.91558528 -17.42597008   0.           0.
   0.          12.           1.         359.0065918  108.73757935
 359.92553711   1.3448061 ]",21,1.0,378a8324-c30f-4b34-904f-5af9b5ef5bd0,"[0.445418, 1, 0.999917, 0.601644, 0.606376, 0.581924, 0.533435, 0.468527, 0.395011, 0.338336, 0.324295, 0.293132]",False
0,"[-2.03339005e+01 -1.86135662e+00 -1.73200150e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.64015102e-01  1.09401352e+02  3.59818115e+02  2.24569744e-05]",41,0.245,No collision,"[0.24513, 0.190912, 0.120227, 0.048391, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.03339005e+01 -1.86135662e+00 -1.73200150e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.64014864e-01  1.09401352e+02  3.59818115e+02  2.22483173e-05]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.03339005e+01 -1.86135650e+00 -1.73200150e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.64015102e-01  1.09401352e+02  3.59818115e+02  2.28345606e-05]",21,0.606,No collision,"[0, 0.017041, 0.111422, 0.21036, 0.302018, 0.388322, 0.472053, 0.536255, 0.58371, 0.606139, 0.601425, 0.56731]",False
0,"[-2.03339005e+01 -1.86135650e+00 -1.73200150e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.64015102e-01  1.09401352e+02  3.59818115e+02  2.22880115e-05]",10,0.512,No collision,"[0.511817, 0.443605, 0.362457, 0.335142, 0.314308, 0.280367, 0.231212, 0.174447, 0.100149, 0.025122, 0, 0]",False
0,"[-2.03339005e+01 -1.86135662e+00 -1.73200150e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.64015192e-01  1.09401352e+02  3.59818115e+02  2.29932938e-05]",31,1.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.999904, 0.999896, 0.999878, 0.999908, 0.999958]",False
0,"[-13.92392445  -1.91454446 -19.43584824   0.           0.
   0.5         12.           0.           0.56647325 107.67790222
   0.12589946   6.72751483]",39,1.0,No collision,"[0.999963, 0.999974, 0.999933, 0.999907, 0.999905, 0.999871, 0.999809, 0.999898, 0.999915, 0.999767, 0.999924, 0.999824]",False
0,"[ 48.91021729  -3.00646329 -35.4060173    0.           0.
   0.5         12.           1.           0.87909579  97.62940979
 358.05169678  12.23111117]",36,1.0,No collision,"[0.999719, 0.999663, 0, 0, 0, 0.999505, 0.999477, 0.999452, 0.999427, 0, 0.999374, 0.999344]",False
0,"[ 91.78156281  -3.66656518 -42.87400818   0.           0.
   0.5         12.           1.           0.73864222 117.40527344
   0.45557171   6.68368276]",50,1.0,BoxTruck(Clone)a4f6ec10-e736-471d-b1da-bfdb27d185d5,"[1, 0.999317, 0, 0, 0, 0, 0.999317, 0, 0, 0, 0, 0]",False
0,"[ 9.43298035e+01 -3.70670795e+00 -4.43929901e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  6.75803125e-01  1.25012489e+02  7.48305395e-02  8.35305032e-04]",19,0.999,No collision,"[0.999317, 0.999317, 0, 0, 0, 0, 0, 0, 0, 0, 0.999317, 0]",False
0,"[ 9.43396072e+01 -3.70729613e+00 -4.43884583e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.78292418e-01  1.25344025e+02  1.13131799e-01  2.31255663e-03]",7,0.999,No collision,"[0.999317, 0.999317, 0, 0, 0, 0, 0.999317, 0, 0, 0, 0, 0]",False
0,"[ 9.43450089e+01 -3.70697761e+00 -4.43818550e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.75647223e-01  1.25561913e+02  1.17973067e-01  1.79633785e-03]",18,0.999,No collision,"[0.999317, 0, 0, 0, 0.999317, 0, 0.999317, 0, 0, 0, 0, 0.999317]",False
0,"[ 9.43587799e+01 -3.70683527e+00 -4.43811188e+01  0.00000000e+00
  5.00000000e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.18343341e-01  1.25893761e+02  3.59886871e+02  6.42147750e-03]",5,0.999,No collision,"[0, 0, 0, 0.999317, 0, 0, 0.999317, 0, 0, 0, 0.999317, 0]",False
0,"[ 9.43616791e+01 -3.70633531e+00 -4.43745804e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.59225798e-01  1.26184059e+02  1.70454159e-02  1.11192603e-02]",50,0.999,No collision,"[0.999317, 0, 0.999316, 0.999316, 0, 0, 0.999316, 0, 0, 0, 0, 0.999316]",False
0,"[ 9.43821869e+01 -3.70929193e+00 -4.43767319e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  6.50760829e-01  1.26889206e+02  8.70601162e-02  1.42547503e-03]",33,0.999,No collision,"[0.999315, 0, 0.999315, 0.999315, 0.999315, 0.999315, 0.999315, 0, 0.999315, 0.999315, 0, 0.999315]",False
