Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-34.19024277  -1.55379379 -13.46452904   0.           0.
   0.          12.          -1.           1.32728481 105.30462646
 359.13092041   6.43393025]",99,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 11.73847485  -2.34882879 -26.35157394   0.           0.
   0.          12.          -1.           1.21096516 105.25024414
 359.84286499   9.65162367]",103,0.676,No collision,"[0.432695, 0.676067, 0.613701, 0.453148, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 69.73625183  -3.38193274 -41.3698082    0.           0.
   0.          12.          -1.           0.98963261 108.24154663
 358.91448975   8.87670371]",13,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[147.03605652  -4.32508087 -55.17713547   0.           0.
   0.          12.           1.           0.69341636 115.82962799
   2.08794045  15.66433735]",122,1.0,SUV(Clone)3a69826e-d361-4066-8ab8-ab63039ea92a,"[0.78978, 1, 0.033095, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58386948e+02 -4.45066833e+00 -6.13224106e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.35442042e-01  1.22073570e+02  3.59858917e+02  2.96264437e-04]",124,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.58388474e+02 -4.45069695e+00 -6.13239021e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.34365106e-01  1.22071831e+02  3.59858887e+02  2.97553842e-04]",140,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[175.70431519  -4.6510787  -63.18055725   0.           0.
   0.          12.          -1.           1.023772    86.1674881
   0.28776824   5.05429051]",144,1.0,OBSTACLE,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",False
0,"[192.82830811  -4.98845005 -63.32342911   0.2          0.
   0.2         12.          -1.           0.71490729  97.36763763
   0.95584083   1.33906194]",40,0.356,No collision,"[0, 0.01959, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.356355]",False
0,"[ 1.93839432e+02 -5.00247240e+00 -6.35148354e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  5.76952815e-01  9.93798065e+01  8.42553735e-01  7.16848745e-05]",83,0.721,No collision,"[0.720878, 0.450799, 0.57344, 0.458337, 0.478746, 0.481285, 0, 0, 0.487019, 0, 0.491261, 0.491875]",False
0,"[ 1.97544861e+02 -5.06489849e+00 -6.46989517e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.35212934e+00  1.08630913e+02  2.29687715e+00  5.58169996e-02]",75,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[199.59805298  -5.08373451 -65.56945038   0.2          0.
   0.2         12.           1.           0.49574852 111.69180298
   2.13228941   0.6467078 ]",40,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.99699127e+02 -5.08398008e+00 -6.56068039e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  5.10608435e-01  1.11904488e+02  2.07137775e+00  1.48633177e-01]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
