Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.75503922  -1.4375006  -12.21997356   0.           0.
   0.          12.          -1.           1.22732127 105.10202789
 359.05938721   2.96624989]",1,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.71893463e+01 -1.88195634e+00 -1.83102188e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.47213745e-01  1.06201294e+02  3.59836975e+02  3.93156653e+00]",47,1.0,742d97e2-59bb-4a2f-88da-0e16d9eec13a,"[0, 0, 0, 0.407997, 0.808528, 1, 0.463034, 0.46305, 0.463034, 0.462969, 0.462855, 0.462896]",False
0,"[ 6.82516289e+00 -2.22428203e+00 -2.53834705e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.28908777e+00  1.01042618e+02  3.59515411e+02  5.53151773e-03]",15,0.463,No collision,"[0.462829, 0.462782, 0.46277, 0.462773, 0.462773, 0.462773, 0.462773, 0.462939, 0.462944, 0.462914, 0.462847, 0.462827]",False
0,"[ 6.82585287e+00 -2.22598982e+00 -2.54021378e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.26948416e+00  1.00615364e+02  3.59551361e+02  6.20243596e-03]",40,0.463,No collision,"[0.462737, 0.462703, 0.462676, 0.462848, 0.462788, 0.462765, 0.462655, 0.462793, 0.462761, 0.462744, 0.462718, 0.46273]",False
0,"[ 6.82708073e+00 -2.22718382e+00 -2.54290390e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.27138424e+00  9.99879456e+01  3.59518555e+02  1.01842238e-02]",28,0.463,No collision,"[0.462571, 0.462533, 0.4626, 0.462618, 0.462513, 0.462484, 0.462474, 0.462595, 0.462662, 0.462665, 0.462579, 0.462609]",False
0,"[ 6.82804203e+00 -2.22787738e+00 -2.54503632e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.27978039e+00  9.95039368e+01  3.59557892e+02  6.20877015e-03]",11,0.463,No collision,"[0.462516, 0.462404, 0.462381, 0.462376, 0.462425, 0.462389, 0.462424, 0.462463, 0.462491, 0.462456, 0.462377, 0.462448]",False
0,"[ 6.82839441e+00 -2.22646475e+00 -2.54649010e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.34175813e+00  9.91805038e+01  3.59585114e+02  2.80569540e-03]",38,0.81,No collision,"[0.462361, 0.462327, 0.462324, 0.462324, 0.462324, 0.810151, 0.462428, 0.462449, 0.462419, 0.462394, 0.462428, 0.462448]",False
0,"[ 6.82985640e+00 -2.22831559e+00 -2.54819679e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.30808377e+00  9.87778625e+01  3.59548920e+02  5.24228856e-03]",19,0.462,No collision,"[0.462391, 0.462387, 0.46234, 0.462425, 0.462439, 0.462264, 0.462208, 0.462332, 0.462407, 0.462337, 0.462313, 0.462184]",False
0,"[ 6.83101368e+00 -2.22532320e+00 -2.55084286e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.37938988e+00  9.81626968e+01  3.59574158e+02  3.56579977e-03]",21,0.81,No collision,"[0.46213, 0.462095, 0.809944, 0.462083, 0.462125, 0.462165, 0.46214, 0.46214, 0.462124, 0.809954, 0.462127, 0.462131]",False
0,"[ 6.83182716e+00 -2.22555614e+00 -2.55191078e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.40862703e+00  9.79468689e+01  3.59610931e+02  2.23429297e-03]",8,0.81,No collision,"[0.462136, 0.81004, 0.46219, 0.46226, 0.46229, 0.462228, 0.462217, 0.462076, 0.4621, 0.462087, 0.462035, 0.46202]",True
1,"[-35.36907959  -1.52295125 -13.18312263   0.           0.
   0.          12.          -1.           1.1728555  105.59832764
 359.02194214   5.9590525 ]",1,1.0,a5192ec3-a33e-4442-bc73-57b7198b6058,"[0, 0, 0, 0, 0, 0, 0, 0, 0.422907, 0.789966, 1, 0.448072]",False
1,"[ 1.00788851e+01 -2.31010771e+00 -2.60564651e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.38507056e+00  1.06391273e+02  3.59725647e+02  5.52140478e-04]",14,1.0,No collision,"[0.448016, 0.448005, 0.447967, 0.447957, 0.447972, 0.447968, 0.999972, 0.44795, 0.447937, 0.447939, 0.447925, 0.447918]",False
1,"[ 1.00771446e+01 -2.30616760e+00 -2.60610332e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.46735704e+00  1.06307800e+02  3.59856659e+02  4.22526744e-04]",29,0.8,No collision,"[0.728372, 0.589951, 0.447981, 0.44798, 0.447971, 0.63741, 0.447983, 0.799845, 0.447949, 0.447999, 0.448083, 0.448116]",False
1,"[ 1.00766678e+01 -2.31134081e+00 -2.60681992e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.35107636e+00  1.06143105e+02  3.59849091e+02  2.64596173e-03]",17,0.8,No collision,"[0.448079, 0.448062, 0.447965, 0.447929, 0.447922, 0.799805, 0.448031, 0.448101, 0.448121, 0.448079, 0.44807, 0.448088]",False
1,"[ 1.00745544e+01 -2.31044626e+00 -2.60778522e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.36961520e+00  1.05917206e+02  3.59844604e+02  2.40626597e-03]",48,1.0,No collision,"[0.448053, 0.999972, 0.447945, 0.44793, 0.447927, 0.79983, 0.637384, 0.448059, 0.448116, 0.448082, 0.695379, 0.44797]",True
2,"[-37.65871048  -1.46731091 -12.66210175   0.           0.
   0.          12.          -1.           1.1904608  107.04927826
 358.93130493   4.2320017 ]",19,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-1.57604446e+01 -1.89587915e+00 -1.92972927e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  4.90464836e-01  1.06915367e+02  2.22645607e-03  3.26917863e-05]",31,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 35.28701401  -2.80506825 -32.87362289   0.           0.
   0.          12.          -1.           1.1294049  102.45967865
 358.30343628  12.76702825]",23,0.082,No collision,"[0.058858, 0.058463, 0.031314, 0.01205, 0.037196, 0.028827, 0, 0.081604, 0.055722, 0, 0, 0]",False
2,"[ 7.06376801e+01 -3.34625959e+00 -3.82714233e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.25178289e-01  1.05960106e+02  3.59796539e+02  1.73714640e-05]",32,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 87.58931732  -3.60623574 -42.7935524    0.           0.
   0.          12.           1.           0.86034715 103.79174805
 359.87130737   5.96473042]",48,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 1.23782051e+02 -4.02604532e+00 -5.19416847e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.27369463e-01  1.05682671e+02  7.88758770e-02  6.52598918e+00]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[150.83839417  -4.36543274 -59.24068451   0.           0.
   0.          12.          -1.           0.47651419 104.93986511
 359.81246948   4.98655011]",31,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[183.95799255  -4.75137186 -67.96826172   0.           0.
   0.          12.          -1.           0.76080972 103.53153992
 359.97772217   4.14011463]",3,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.09090576e+02 -5.13917494e+00 -7.43597870e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.75805104e-01  1.05084312e+02  2.19017312e-01  2.12440468e-04]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.57459381e+02 -6.06913519e+00 -8.72896652e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.16841173e+00  1.05045891e+02  5.43412454e-02  9.65089862e+00]",18,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 2.93390350e+02 -6.73132038e+00 -9.72186813e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.28158498e+00  1.05510170e+02  1.00081116e-01  2.67543932e+00]",11,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.16970184e+02 -7.08188057e+00 -1.03598579e+02  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  6.79820955e-01  1.04498215e+02  2.02059723e-03  4.28889017e+00]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.38377441e+02 -7.42538738e+00 -9.44120483e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  3.31785679e-01  2.72209892e+01  3.59119049e+02  1.27804258e+00]",23,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.43023468e+02 -7.45929384e+00 -7.58734055e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.09092394e-02  1.31555510e+01  3.58839935e+02  3.47318920e+00]",49,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792603e+00 -6.69735413e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.07273260e-02  1.55428047e+01  3.58761993e+02  1.14282307e-04]",50,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792507e+00 -6.69735413e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.07088411e-02  1.55426884e+01  3.58761993e+02  1.11356838e-04]",5,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792459e+00 -6.69735413e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.06782788e-02  1.55426331e+01  3.58761993e+02  1.14371568e-04]",8,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792364e+00 -6.69735413e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  7.06759319e-02  1.55425529e+01  3.58762024e+02  1.11745164e-04]",12,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792364e+00 -6.69735413e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  7.06760138e-02  1.55425520e+01  3.58762024e+02  1.11847908e-04]",42,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ 3.45412079e+02 -7.46792364e+00 -6.69735413e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.00000000e+01  0.00000000e+00
  7.06756487e-02  1.55425520e+01  3.58762024e+02  1.11883948e-04]",50,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
3,"[-38.35919189  -1.44875002 -12.39926624   0.           0.
   0.          12.          -1.           1.17157495 106.29546356
 358.99203491   3.89776341]",35,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[-2.51919327e+01 -1.79011583e+00 -1.62836933e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.83504057e-01  1.06546959e+02  3.59517365e+02  1.23425554e-03]",2,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
3,"[ 17.95623398  -2.4649229  -28.41887283   0.           0.
   0.          12.          -1.           1.16878545 105.2843399
 359.35601807  12.17533053]",41,1.0,SchoolBus(Clone)94f58dfa-9efd-44f6-8d04-09146b7591e7,"[0.183636, 0.376263, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",False
