Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.78495827e+01 -1.46022391e+00 -1.24647255e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.34329617e+00  1.05117226e+02  3.59051910e+02  2.78430598e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  8.46625841e-01  1.31913696e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -4.39507051e-01 -5.64525595e-03  1.00000000e+00]",28,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.99762802e+01 -1.67656898e+00 -1.46424379e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.78966022e+00  1.05558472e+02  3.59286743e+02  6.40973756e-05
  1.00000000e+00  1.00000000e+00  7.98783352e+00  6.70786185e+00
  1.84735371e+01  7.98783352e+00  3.73422383e+00  1.29141073e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99915589e+01  1.00000000e+02
 -4.06205855e-01 -3.00000000e+00  1.00000000e+00]",29,0.226,No collision,"[0, 0, 0, 0.079515, 0.204933, 0.220273, 0.22051, 0.225574, 0.100799, 0, 0.073205, 0]",False
0,"[-2.99637527e+01 -1.67701697e+00 -1.46478968e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.79147649e+00  1.05560684e+02  3.59286255e+02  6.39882976e-05
  2.00000000e+00  2.00000000e+00  1.52971964e+01  9.96810975e+00
  1.84155667e+01  1.52971964e+01  3.74769128e+00  1.29093210e+00
  3.46567253e+00  6.01921474e+00  5.97618842e+00  2.04915451e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99983303e+01  1.00000000e+02
 -4.06205855e-01 -3.00000000e+00  1.00000000e+00]",42,0.203,No collision,"[0, 0, 0.161384, 0.202718, 0.071237, 0, 0.064154, 0, 0, 0, 0, 0]",False
0,"[-2.99591389e+01 -1.67720258e+00 -1.46510744e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.79219091e+00  1.05558601e+02  3.59285187e+02  6.39048774e-05
  4.00000000e+00  4.00000000e+00  3.19000565e+01  1.13662528e+01
  1.19728040e+01  3.33918701e+01  3.75295823e+00  1.29045771e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99991251e+01  1.00000000e+02
 -4.06205855e-01 -3.00000000e+00  1.00000000e+00]",151,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  9.40875244  -2.28777957 -25.73304939   0.           0.
   0.5         12.           1.           1.49051881 105.74194336
 359.84146118  11.50051229   4.           4.          27.49451562
   6.6998471   18.52250567  27.49451562  14.96513336   1.29358522
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
   0.56765213   0.73261152   1.        ]",132,0.106,No collision,"[0.082599, 0.105812, 0.011569, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 52.9150238   -3.04141974 -33.78843307   0.           0.
   0.5         12.           1.           1.12178254  91.74964905
 359.98529053   2.77562619   5.           5.          16.90890123
   9.41035408  11.95931682  62.85625019   2.91041996   1.47771657
   4.44363725   6.10722863   5.31432149   3.05949099   0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          17.32103198 100.
 -13.22524353  -0.59656774   1.        ]",111,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[101.58203888  -3.79948425 -47.49392319   0.           0.
   0.5         12.          -1.           0.84001309 102.28027344
 359.88827515   8.24512658   5.           5.          26.09370589
   9.99714068  11.91640547 112.20079965   0.78337605   1.38574209
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.          19.06648102 100.
  -1.46150978  -0.52696552   1.        ]",113,0.94,No collision,"[0, 0.491833, 0.93998, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.55480728e+02 -4.41760349e+00 -6.05857620e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  6.40420377e-01  1.04835915e+02  3.59677460e+02  8.89689712e+00
  7.00000000e+00  7.00000000e+00  9.46235614e+00  9.20100316e+00
  1.27453503e+01  1.66926351e+02  1.34462854e+00  1.31333298e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.16383586e-01  6.35012284e-01  1.00000000e+00]",144,0.996,No collision,"[0.645595, 0.996371, 0.925038, 0.883228, 0.765835, 0.361176, 0.100189, 0, 0, 0, 0, 0]",False
0,"[ 2.01086365e+02 -5.00395060e+00 -7.25304184e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  7.98329115e-01  1.04773712e+02  1.19604699e-01  8.80780297e+00
  8.00000000e+00  8.00000000e+00  9.44692228e+00  8.55072494e+00
  1.27901936e+01  2.13825694e+02  1.82562407e+01  1.31347202e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -7.91624507e-03  6.65657198e-01  1.00000000e+00]",104,1.0,SchoolBus(Clone)d7d907f9-ca12-4d79-a735-a03d88fc465b,"[0.311031, 0.201568, 0.595432, 0.978767, 0.584309, 0.022476, 0.021149, 0, 0, 0, 1, 0]",False
0,"[ 2.52404343e+02 -5.97877645e+00 -8.59284668e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.97849321e-01  1.04194466e+02 -3.82684334e-03  1.56434250e+00
  9.00000000e+00  9.00000000e+00  7.18232833e+00  2.93353708e-01
  1.00649100e+02  2.66697205e+02  1.79816477e+00  1.32300012e+00
  5.14309654e+01  8.16241042e+00  5.55698547e+01  1.39598493e+01
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.52340475e+01  0.00000000e+00  1.00000000e+02
 -4.78671939e+00  2.92808570e-01  1.00000000e+00]",9,1.0,SchoolBus(Clone)d7d907f9-ca12-4d79-a735-a03d88fc465b,"[1, 0.7287, 0, 0, 0, 0.793652, 0, 0, 0, 0, 0, 0]",False
