Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.03001823e+01 -1.39661551e+00 -1.18006630e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47240698e+00  1.05001015e+02  3.59154205e+02  5.65550830e-02]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-11.12872028  -1.94184148 -19.88321304   0.           0.
   0.          12.           1.           0.3560847  105.284729
   0.24469556   5.09071305]",61,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.27776176e-01 -2.07273078e+00 -2.29875412e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.18491018e+00  1.05590828e+02  6.20812327e-02  3.15999808e-05]",114,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.29492179e-01 -2.07276678e+00 -2.29879646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.18037128e+00  1.05589149e+02  6.17431290e-02  3.72156333e-02]",43,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 18.79916191  -2.47388387 -28.14322472   0.           0.
   0.          12.           1.           1.09560573 105.30566406
 359.28320312  10.97859891]",141,0.689,No collision,"[0.156912, 0.689302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 8.24074707e+01 -3.54393697e+00 -3.43237610e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.59898041e+02  7.33501282e+01  3.59643372e+02  4.69709434e-03]",7,0.373,No collision,"[0, 0, 0.373493, 0, 0.174526, 0.269617, 0.271276, 0.273682, 0.275307, 0.27713, 0.278464, 0.279878]",False
0,"[ 8.25673981e+01 -3.55129051e+00 -3.43543472e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59666290e+02  7.36897430e+01  1.92561503e-02  1.97927094e-02]",144,0.29,No collision,"[0.281418, 0.282225, 0.283494, 0.28442, 0.285136, 0.285579, 0.285723, 0.285733, 0.285739, 0.287065, 0.289055, 0.290218]",False
0,"[ 8.26462326e+01 -3.55120659e+00 -3.43786964e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59739197e+02  7.37774353e+01  3.59903259e+02  2.36025310e-02]",52,0.878,No collision,"[0.878366, 0.29059, 0.290584, 0.290582, 0.290575, 0.290563, 0.290561, 0.290561, 0.29056, 0.29056, 0.290559, 0.290559]",False
0,"[ 8.26463852e+01 -3.54797077e+00 -3.43806725e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59894348e+02  7.37978363e+01  3.59688019e+02  1.64389518e-04]",126,0.968,No collision,"[0.290555, 0.901475, 0.294776, 0.29532, 0.968325, 0.297175, 0.903016, 0.903381, 0.299977, 0.300487, 0.90853, 0.302196]",False
0,"[ 8.27531204e+01 -3.55409908e+00 -3.44030724e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.59650146e+02  7.36620560e+01 -1.33504660e-03  1.03297118e-02]",25,0.306,No collision,"[0.302663, 0.303112, 0.303129, 0.304547, 0.30502, 0.305532, 0.305548, 0.305552, 0.305553, 0.305554, 0.305554, 0.305554]",False
