Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.80169678  -1.43617296 -12.20692253   0.           0.
   0.          12.          -1.           1.32601428 105.08522797
 359.05969238   2.1208069    0.92332317   1.31257802]",42,0.419,No collision,"[0.418922, 0.160431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-14.20237827  -1.91174352 -19.11871147   0.           0.
   0.          12.           1.           0.81141835 105.92773438
   0.13229111   4.5363355   19.78126033   1.29511929]",152,0.299,No collision,"[0.076615, 0.037265, 0.154554, 0.183308, 0.158077, 0.121463, 0, 0.29947, 0.27442, 0.287392, 0.185853, 0.020778]",False
0,"[ 53.62271118  -3.05568337 -34.55868149   0.           0.
   1.          12.          -1.           1.02591109  82.63373566
 358.39190674  12.51863407   8.99149896   1.54185556]",36,0.237,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.069433, 0.236687, 0]",False
0,"[119.20301819  -4.00657654 -53.44646072   0.           0.
   1.          12.           1.           0.59026879 102.53540039
 358.87496948  10.98785666   7.50866606   1.36092178]",131,0.236,No collision,"[0.235606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[166.73770142  -4.55182171 -64.38687134   0.           0.
   1.          12.           1.           0.3895413  103.59986115
 359.59429932   8.34623212   1.34621337   1.33528551]",88,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[218.67849731  -5.33418703 -77.36619568   0.           0.
   1.          12.           1.           1.23837125 104.50702667
 359.98898315   7.85890089   8.61077828   1.3133546 ]",94,0.426,No collision,"[0, 0, 0.101253, 0.424341, 0.426467, 0.036729, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.72150787e+02 -6.33535624e+00 -9.13463516e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.28406596e-01  1.05376892e+02  7.13648424e-02  3.95335207e+00
  1.04591433e+01  1.30692997e+00]",149,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 329.66940308   -7.27422237 -106.37744141    0.            1.
    0.           12.           -1.            0.9621979    96.50993347
  359.26171875    9.80112894   18.26113414    1.34306632]",95,0.37,No collision,"[0, 0.280486, 0.370173, 0.346981, 0.15295, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45457123e+02 -7.52388048e+00 -9.43497009e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.57089691e+02  8.13811302e+00  4.62351942e+00  5.89765021e-01
  1.14815085e+01 -3.15189857e-01]",23,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45461243e+02 -7.52422523e+00 -9.42607269e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.57040741e+02  8.00967598e+00  4.66334772e+00  1.70096153e-04
  2.52130755e+01 -2.06368222e-01]",46,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45461212e+02 -7.52423286e+00 -9.42607193e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57040771e+02  7.99638748e+00  4.66220617e+00  1.65044657e-04
  2.52162388e+01 -2.06372820e-01]",58,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45461212e+02 -7.52424526e+00 -9.42607117e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57040771e+02  7.98307657e+00  4.66093731e+00  1.63825495e-04
  2.52162313e+01 -2.06372882e-01]",149,0.097,No collision,"[0, 0, 0, 0, 0.097192, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.45461212e+02 -7.52425575e+00 -9.42607040e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.57040863e+02  7.96974850e+00  4.65986300e+00  1.66386056e-04
  1.36526243e+00  6.12314921e+00]",33,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
