Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.90399361e+01 -1.42996120e+00 -1.21422405e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.30456960e+00  1.05070679e+02  3.59081390e+02  2.25226477e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  8.81923081e-01  1.31384383e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -3.35054064e-01  1.79441090e-01  1.00000000e+00]",50,0.489,No collision,"[0.488919, 0.395101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.73231964e+01 -1.74356389e+00 -1.53866072e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06983614e+00  1.05655075e+02  3.59513184e+02  6.15520015e-05
  2.00000000e+00  2.00000000e+00  1.45685734e+01  9.99652779e+00
  1.40899184e+01  2.80539752e+01  6.48959411e+00  1.29838287e+00
  5.11152148e+01  5.00034619e+00  5.49982646e+01  1.05592026e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99952636e+01  1.00000000e+02
 -3.11709861e-01 -3.00000000e+00  1.00000000e+00]",69,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.66317844e+01 -1.76249909e+00 -1.55849133e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.82406652e-01  1.05651978e+02  3.59498718e+02  6.72395274e-01
  3.00000000e+00  3.00000000e+00  3.09070844e+01  1.78887263e+01
  2.23842807e+01  3.09070844e+01  1.34979509e+00  1.29989872e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.77633977e+01  0.00000000e+00  1.00000000e+02
 -1.25579487e-02  6.48386101e-02  1.00000000e+00]",116,0.098,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0.098053, 0.090781, 0.034888, 0.034886]",False
0,"[-2.12203121e+01 -1.84844351e+00 -1.71017227e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.89550817e-01  1.05567574e+02  3.59766144e+02  4.45082073e-04
  4.00000000e+00  4.00000000e+00  1.11225950e+01  2.38418579e-05
  1.31685669e+01  2.73164293e+01  7.61379063e+00  1.29738242e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.71319253e+01  1.00000000e+02
 -1.61270844e-02 -2.39577585e-02  1.00000000e+00]",14,0.007,No collision,"[0, 0, 0, 0, 0.003326, 0.006515, 0.006618, 0.006618, 0.006617, 0.006617, 0.006618, 0.006618]",False
0,"[-2.12202282e+01 -1.84845030e+00 -1.71017609e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.67325437e-01  1.05567589e+02  3.59766327e+02  2.74763356e-05
  5.00000000e+00  5.00000000e+00  8.77498030e+00  0.00000000e+00
  1.40230064e+01  2.73163884e+01  7.61392614e+00  1.29738059e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.94119494e+01  1.00000000e+02
 -1.61270844e-02 -9.23584813e-02  1.00000000e+00]",149,0.007,No collision,"[0.006612, 0.006612, 0.00661, 0.00661, 0.00661, 0.00661, 0.00661, 0.00661, 0.006608, 0.006609, 0.006607, 0.006606]",False
0,"[-2.12202282e+01 -1.84845030e+00 -1.71017609e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.67325616e-01  1.05567589e+02  3.59766327e+02  2.73225176e-05
  5.00000000e+00  5.00000000e+00  8.77501529e+00  9.61096018e-05
  1.40229986e+01  2.73163884e+01  7.61397754e+00  1.29738061e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99378367e+01  1.00000000e+02
 -1.61270844e-02 -1.79958558e-01  1.00000000e+00]",36,0.007,No collision,"[0.006611, 0.006611, 0.00661, 0.006609, 0.006609, 0.006608, 0.006606, 0.006605, 0.006604, 0.006604, 0.006602, 0.006602]",False
0,"[-2.12202282e+01 -1.84845030e+00 -1.71017609e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.67325258e-01  1.05567589e+02  3.59766327e+02  2.73287352e-05
  6.00000000e+00  6.00000000e+00  8.77506365e+00  3.57627869e-05
  1.40230104e+01  2.73163884e+01  1.30966025e+00  1.30019265e+00
  1.34102159e+00  1.36643134e-01  1.67512593e+00  1.02242956e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.01795359e+01  0.00000000e+00  1.00000000e+02
 -2.60634274e-01  1.04989374e+00  1.00000000e+00]",151,0.999,No collision,"[0, 0, 0.518605, 0.878318, 0.998994, 0.838945, 0.822324, 0.996882, 0.763346, 0.434512, 0.229274, 0]",False
0,"[ 1.44975090e+01 -2.40217590e+00 -2.70884018e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.08168626e-01  1.04768837e+02  3.59817841e+02  9.24025083e+00
  6.00000000e+00  6.00000000e+00  2.05319716e+01  1.00512691e+01
  1.17798002e+01  3.08176853e+01  1.42339516e-01  1.29599107e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.42142610e+01  0.00000000e+00  1.00000000e+02
  4.23965911e-02  4.15922720e-01  1.00000000e+00]",48,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 53.95710754  -3.09095526 -36.76284409   0.           0.
   0.5         12.          -1.           0.67607111  93.95192719
 358.55331421   5.27798008   7.           7.          33.51305574
   0.         100.60193279  65.36382917   6.62301904   1.42182541
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          24.92624982   0.         100.
  -2.23242665   1.30433886   1.        ]",40,0.715,No collision,"[0, 0, 0.101585, 0.456103, 0, 0.715036, 0.437022, 0.039495, 0, 0, 0, 0]",False
0,"[ 95.94340515  -3.73405433 -46.28063965   0.           0.
   0.5         12.          -1.           0.63190287 108.24201965
 359.86212158   9.83585007   8.           8.          76.35088415
   0.         100.60191554 106.58788749   3.11516089   1.26451257
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
   3.79674852   0.48961342   1.        ]",117,0.575,No collision,"[0.081296, 0.575328, 0.384885, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
