Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.01673241e+01 -1.40023279e+00 -1.18371639e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.43556488e+00  1.05021164e+02  3.59164825e+02  3.85031320e-01
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  3.28378630e+00  1.30974916e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -3.36434181e-01 -8.43690469e-02  1.00000000e+00]",51,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.99699707e+01 -1.40545690e+00 -1.18943462e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.45810831e+00  1.05047279e+02  3.59152496e+02  4.92989315e-05
  1.00000000e+00  1.00000000e+00  5.91946880e+00  1.01852462e-04
  1.32418561e+01  5.91946880e+00  6.63059789e+00  1.30869968e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99962043e+01  1.00000000e+02
 -4.03994018e-01 -3.00000000e+00  1.00000000e+00]",108,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.99450340e+01 -1.40612602e+00 -1.19021273e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.45693922e+00  1.05048416e+02  3.59149261e+02  4.88831281e-05
  2.00000000e+00  2.00000000e+00  5.94561017e+00  0.00000000e+00
  1.32418624e+01  4.17042392e+01  6.60468304e+00  1.30885919e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99975039e+01  1.00000000e+02
 -4.13044527e-01 -3.00000000e+00  1.00000000e+00]",108,0.98,No collision,"[0, 0.748701, 0.745383, 0.73752, 0.263733, 0.138908, 0.910347, 0.980451, 0.956545, 0.607624, 0.213323, 0.035215]",False
0,"[-2.01626873e+01 -1.86380506e+00 -1.74127426e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.23131609e-01  1.05811905e+02  3.59760345e+02  2.29051882e+00
  2.00000000e+00  2.00000000e+00  1.19910748e+01  8.25002915e-02
  1.39479344e+01  2.67060168e+01  1.39579397e+01  1.29657329e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.40731242e+01  1.00000000e+02
 -2.72865166e-01 -3.00000000e+00  1.00000000e+00]",152,0.964,No collision,"[0.598703, 0.540568, 0.652035, 0.704091, 0.728758, 0.931681, 0.934679, 0.938491, 0.942491, 0.9503, 0.959179, 0.964461]",False
0,"[-1.92852097e+01 -1.86851573e+00 -1.76660347e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  2.84026116e-01  1.05849388e+02  3.59717712e+02  2.10159030e-01
  2.00000000e+00  2.00000000e+00  8.83343099e+00  1.01694935e-01
  1.32014077e+01  2.62202106e+01  1.48446130e+01  1.29614316e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -3.02352334e-01  2.21592203e-04  1.00000000e+00]",144,0.737,No collision,"[0.730083, 0.736283, 0.736567, 0.736581, 0.736585, 0.736588, 0.736591, 0.736594, 0.736597, 0.7366, 0.736603, 0.736606]",False
0,"[-1.92505569e+01 -1.86869323e+00 -1.76766510e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.02277446e-01  1.05858566e+02  3.59717804e+02  2.20467458e-05
  2.00000000e+00  2.00000000e+00  8.77453244e+00  9.83024985e-05
  1.30613268e+01  2.62019073e+01  1.34677457e+00  1.29529992e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.10849436e+01  1.00000000e+02
 -3.18531328e-01 -3.25620027e-01  1.00000000e+00]",116,0.727,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.223573, 0.727492]",False
0,"[-1.17491045e+01 -1.93609715e+00 -1.98113041e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.63817242e-01  1.05864365e+02  2.72263259e-01  7.33761417e+00
  3.00000000e+00  3.00000000e+00  1.21256005e+01  5.03327042e+00
  1.39143410e+01  2.31144478e+01  3.96741749e-01  1.28240178e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.91510683e+01  0.00000000e+00  1.00000000e+02
  6.61502918e-04  1.81649235e+00  1.00000000e+00]",131,0.978,No collision,"[0.493039, 0.780413, 0.978201, 0.948079, 0.619871, 0.881024, 0.941987, 0.608646, 0.540042, 0.6115, 0.457553, 0.264079]",False
0,"[ 3.95906105e+01 -2.84473038e+00 -3.27493515e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.50185633e-01  1.02301018e+02  3.58451019e+02  8.19884574e+00
  4.00000000e+00  4.00000000e+00  1.23761502e+01  1.24341707e+01
  1.39740969e+01  5.14590027e+01  1.57549779e+00  1.28435755e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
  1.44653728e+01 -2.62327950e-01  1.00000000e+00]",138,0.994,No collision,"[0.875263, 0.979977, 0.993921, 0.955183, 0.815261, 0.63969, 0.583374, 0.540008, 0.501428, 0.439748, 0.359026, 0.302645]",False
0,"[ 7.27906418e+01 -3.38666940e+00 -3.94891014e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  8.66979122e-01  1.03411453e+02  3.59730225e+02  6.69594395e+00
  5.00000000e+00  5.00000000e+00  1.01482378e+01  5.19077309e+00
  1.40887717e+01  8.28814587e+01  9.95336599e+00  1.21558634e+00
  4.47622129e+01  6.33211590e+00  8.34209786e+00  7.34284097e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  2.44590941e+01  0.00000000e+00  1.00000000e+02
 -8.22539111e+00  1.03001035e+00  1.00000000e+00]",41,0.996,No collision,"[0.648529, 0.797406, 0.888783, 0.943011, 0.981575, 0.996308, 0.981939, 0.913688, 0.749631, 0.59539, 0.499304, 0.309319]",False
0,"[ 1.06618614e+02 -3.85929179e+00 -4.88813782e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.32506478e-01  1.06133476e+02  3.59754150e+02  7.82510772e+00
  6.00000000e+00  6.00000000e+00  8.33285329e+00  1.08335227e+01
  1.40950196e+01  1.17353364e+02  7.63465648e+00  1.34673508e+00
  8.15592329e+00  6.27071506e+00  1.24188453e+00  9.34239194e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.63796574e+01  1.00000000e+02
 -1.14087544e+01 -1.54900300e+00  1.00000000e+00]",23,0.989,No collision,"[0.901271, 0.988708, 0.986199, 0.915972, 0.813457, 0.564148, 0.155894, 0, 0, 0, 0, 0]",False
