Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.94334869e+01 -1.41959751e+00 -1.20362425e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.26966774e+00  1.05079659e+02  3.59114990e+02  1.87403807e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.79005020e-01  1.32840485e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -3.55412546e-01  2.87390869e-01  1.00000000e+00]",42,0.373,No collision,"[0.373098, 0.126227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.66602573e+01 -1.76217175e+00 -1.55798016e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.72841656e-01  1.05646721e+02  3.59535980e+02  1.68190615e+00
  1.00000000e+00  1.00000000e+00  1.59558075e+01  9.93306830e+00
  1.22679900e+01  1.59558075e+01  3.68204994e+00  1.29816222e+00
  2.86022157e+00  5.99126486e+00  9.10345211e+00  1.12566881e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.58218604e-03  1.08087253e-01  1.00000000e+00]",81,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ -9.50215149  -1.95302963 -20.41649246   0.           0.
   0.          12.           1.           0.14113837 105.89357758
   0.25373286   9.53682869   2.           2.          22.60394594
  16.71796715  14.23449779  22.60394594   8.1660003    1.29624233
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          36.47692947   0.         100.
  -0.23850546   1.79116692   1.        ]",67,0.343,No collision,"[0.007986, 0.059519, 0.121159, 0.160105, 0.193233, 0.19588, 0.082565, 0, 0.199299, 0.343463, 0.052944, 0]",False
0,"[ 4.97801743e+01 -2.98565364e+00 -3.28505974e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.06869376e+00  8.76821823e+01  8.26169476e-02  6.55970105e+00
  3.00000000e+00  3.00000000e+00  5.97171803e+01  1.67179671e+01
  1.42344978e+01  5.97171803e+01  1.06027886e+00  6.05419699e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.96945348e+01  1.00000000e+02
 -8.96047858e+00 -9.95987563e-01  1.00000000e+00]",57,1.0,BoxTruck(Clone)e86f88b7-b20e-4323-8ee0-87a6c05d8c4c,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",False
0,"[ 7.65071869e+01 -3.42168283e+00 -3.83334007e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.94491839e-01  1.05883583e+02  3.59594299e+02  4.86387100e+00
  4.00000000e+00  4.00000000e+00  2.55340678e+00  8.53325375e-04
  1.53928646e+02  8.56417373e+01  7.63724297e+00  1.25230172e+00
  2.96992323e+00  3.18239836e+00  8.53325492e-04  8.49198792e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.14689633e+01  0.00000000e+00  1.00000000e+02
  8.09162794e-02  1.94493625e+00  1.00000000e+00]",147,0.64,No collision,"[0.552248, 0.329486, 0.514342, 0.547056, 0.56349, 0.57372, 0.592608, 0.614088, 0.617271, 0.629212, 0.634127, 0.640357]",False
0,"[ 1.26527008e+02 -4.05637646e+00 -5.27626839e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.48878038e-01  1.04927895e+02  7.70329461e-02  1.03101568e+01
  4.00000000e+00  4.00000000e+00  5.25205185e+01  2.38418579e-05
  1.53928646e+02  1.37147507e+02  1.66553849e+00  1.31053427e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  4.42324174e-02  5.30083457e-01  1.00000000e+00]",114,0.449,No collision,"[0, 0, 0.142212, 0.448514, 0.241414, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.90249146e+02 -4.84271336e+00 -6.96457901e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.59794617e-01  1.04796951e+02  6.25917763e-02  1.16246768e+01
  5.00000000e+00  5.00000000e+00  1.00839475e+02  3.80708718e+00
  1.52278062e+02  2.02654201e+02  1.49498643e+00  1.31282129e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  2.29574347e-02  2.30694930e-01  1.00000000e+00]",70,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.58865112e+02 -6.09503031e+00 -8.78064728e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.10583472e+00  1.04975266e+02  6.33475110e-02  9.84961506e+00
  6.00000000e+00  6.00000000e+00  1.78899208e+01  4.99704282e+00
  1.52677596e+02  2.73419590e+02  6.13716653e+00  1.30913854e+00
  6.73804523e+00  6.22662108e+00  4.99704358e+00  7.81399485e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.57057738e+01  1.00000000e+02
 -1.99998783e-01 -3.71463327e+00  1.00000000e+00]",3,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.32701813e+02 -7.32564545e+00 -1.08345123e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  8.93460512e-01  1.05312065e+02  1.49949074e-01  1.51451044e+01
  7.00000000e+00  7.00000000e+00  7.53823810e+00  4.99653112e+00
  1.31202425e+01  3.49975466e+02  3.67305103e+01  1.29043588e+00
  4.21668604e+00  6.47401934e+00  3.24659189e+00  3.19156759e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.00000000e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00]",60,0.997,No collision,"[0.857003, 0.93992, 0.978824, 0.98991, 0.993824, 0.997163, 0.982227, 0.970034, 0.967277, 0.970787, 0.972786, 0.894917]",False
0,"[ 4.33718994e+02 -5.43197594e+01 -1.20689827e+02  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.20788193e+01  3.43369995e+02  2.49768677e+02  3.43646979e+01
  8.00000000e+00  8.00000000e+00  1.10939978e+02  6.62675036e+00
  1.36233065e+01  4.53463159e+02  3.73366026e+00  4.79795279e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -6.81022856e-03  4.01544628e-02  1.00000000e+00]",0,0.971,No collision,"[0.81881, 0.860591, 0.887025, 0.907236, 0.921383, 0.934665, 0.944178, 0.951804, 0.949755, 0.957457, 0.964641, 0.970745]",True
