Episode,State,Action,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.01329765e+01 -1.40114331e+00 -1.18467216e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.47725296e+00  1.05050705e+02  3.59170166e+02  9.03981772e-04]",38,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-33.68702316  -1.56790257 -13.60895061   0.           0.
   0.          12.          -1.           1.40470433 105.29304504
 359.12750244   5.03232534]",51,0.486,No collision,"[0, 0, 0, 0, 0.011841, 0.272731, 0.4862, 0.466259, 0.408043, 0.366857, 0.309184, 0.246631]",False
0,"[-1.70060730e+01 -1.88319659e+00 -1.83056545e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.98845732e-01  1.05936531e+02  3.59892120e+02  1.67179780e-05]",20,1.0,No collision,"[0.174716, 0.999957, 0.999942, 0.99992, 0.999888, 0.999849, 0.999803, 0.999769, 0.999754, 0.99973, 0.999698, 0.999659]",False
0,"[ 18.84239769  -2.47913051 -28.42723465   0.           0.
   0.          12.           1.           1.22881353 105.19461823
 359.22259521  11.10616657]",9,1.0,No collision,"[0.999615, 0.999567, 0.999516, 0.999463, 0.999415, 0, 0, 0, 0.999287, 0.99926, 0.999232, 0.999202]",False
0,"[ 71.14576721  -3.34115505 -36.22992325   0.           0.
   0.2         12.           1.           0.7739864  106.54031372
   0.17305857   6.53994757]",6,0.999,No collision,"[0.999169, 0.999134, 0.999095, 0.999055, 0.999016, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 1.16239082e+02 -3.95750451e+00 -5.09340668e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.56215763e-01  1.05630196e+02  3.59952545e+02  8.82234115e+00]",45,0.999,No collision,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 1.72400330e+02 -4.60613060e+00 -6.53409805e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.63894415e-01  1.04297791e+02  1.37482017e-01  1.05435400e+01]",15,1.0,SUV(Clone)d96b40f5-33fa-461f-baf5-890ea9cc1184,"[0.999, 0.999, 0.999, 0.999, 1, 0.999, 0.999, 0.999, 0.999, 0.999, 1, 0.999]",False
0,"[ 1.99898056e+02 -4.98694897e+00 -7.24303207e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.80171752e-01  1.04666924e+02  9.43468213e-02  1.83066966e+00]",16,0.999,No collision,"[0.999, 0, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 2.07061356e+02 -5.10494709e+00 -7.42890930e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.75544524e-01  1.04511063e+02  2.02236027e-01  5.00497788e+00]",37,1.0,SUV(Clone)d96b40f5-33fa-461f-baf5-890ea9cc1184,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 1, 0.999, 0.999]",False
0,"[ 2.40762878e+02 -5.78456163e+00 -8.30076523e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.34845483e+00  1.04781204e+02  3.59376892e+02  5.98178856e+00]",14,0.999,No collision,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 2.65453613e+02 -6.21306229e+00 -8.95770340e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  1.01226532e+00  1.04988457e+02  8.46974552e-02  7.67736869e+00]",37,0.999,No collision,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 2.99174072e+02 -6.83543968e+00 -9.89981384e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.00000000e+01  1.00000000e+00
  8.56062949e-01  1.05787987e+02  1.29008621e-01  7.11341721e+00]",37,0.999,No collision,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0, 0, 0, 0, 0]",False
