Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-35.30548096  -1.5239743  -13.16143799   0.           0.
   0.          12.          -1.           1.27897322 105.27160645
 359.06362915   5.51498491   2.54614059   1.29986954]",5,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-11.1493187   -1.94215703 -19.93559074   0.           0.
   0.          12.           1.           0.14523999 105.81328583
   0.25962922   7.92161481   2.236737     1.29367006]",41,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 33.16005325  -2.73401499 -31.22621155   0.           0.
   0.          12.          -1.           1.03633428  97.72836304
 358.56503296   2.93820766  14.30987083   1.39574682]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 68.23841095  -3.32331061 -39.19236374   0.           0.
   0.          12.           1.           0.87251598 106.33838654
 359.55487061   8.99233801   0.45311964   1.29062091]",0,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.26368195e+02 -4.05560017e+00 -5.33729019e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01  1.00000000e+00
  6.57321393e-01  1.01619926e+02  7.91628286e-02  1.09301835e+01
  3.09009380e+00  1.36850710e+00]",139,by model,0.598,No collision,"[0.597978, 0.320485, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[226.08624268  -5.4972806  -79.217453     0.           0.
   0.          20.           1.           1.16288054 103.62799835
 359.69018555  21.39507592   1.07650386   1.32992643]",29,by model,1.0,SUV(Clone)6c887bf1-7385-4b72-8281-2aeefe23b056,"[0.986246, 0.71125, 0.335453, 0.119173, 0.176711, 1, 0.759735, 0.497536, 0.233063, 0, 0, 0]",False
0,"[ 2.82591461e+02 -6.53700686e+00 -9.43770065e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01 -1.00000000e+00
  1.08338428e+00  1.06841476e+02  3.59945648e+02  1.42451018e-04
  7.17665999e-01  1.26155191e+00]",29,by model,0.969,No collision,"[0.834978, 0.945434, 0.968904, 0.94351, 0.762082, 0.239817, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.85519897e+02 -6.59091902e+00 -9.52472610e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01 -1.00000000e+00
  9.95178521e-01  1.06512558e+02  3.59750702e+02  6.41576079e-04
  2.04323566e+00  1.28180002e+00]",80,randomly,0.98,No collision,"[0.654256, 0, 0.895426, 0.904414, 0.908815, 0.915569, 0.918885, 0.929512, 0.940408, 0.952871, 0.966584, 0.980204]",False
0,"[ 2.92108032e+02 -6.70858002e+00 -9.71541977e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+01 -1.00000000e+00
  1.02637625e+00  1.05926025e+02  1.38879493e-02  2.22952044e+00
  3.93890910e+00  1.28888810e+00]",29,by model,0.998,No collision,"[0.897537, 0.845095, 0.914246, 0.784563, 0.924611, 0.99793, 0.684054, 0.166566, 0, 0.379017, 0.442536, 0.112832]",False
0,"[ 323.51647949   -7.1778698  -104.5213089     0.            0.
    0.           20.           -1.            0.53827333   98.66548157
  359.91937256    9.07794746    1.43604401    1.41981844]",29,by model,0.828,No collision,"[0.528147, 0.827713, 0.730663, 0.415858, 0.43334, 0.479199, 0.306462, 0.342592, 0.350923, 0, 0, 0]",False
