Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.89773254e+01 -1.43157279e+00 -1.21584816e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.32308137e+00  1.05039619e+02  3.59075195e+02  2.04028156e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  1.34017010e+00  1.31254303e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -1.26500417e-01  1.33349039e-01  1.00000000e+00]",141,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.54306908e+01 -1.78550732e+00 -1.59158421e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.12383270e+00  1.05679581e+02  3.59574799e+02  4.91161784e+00
  1.00000000e+00  1.00000000e+00  3.00536536e+01  1.99967534e+01
  2.19805331e+01  3.00536536e+01  8.39332644e+00  1.29870059e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.00000000e+01  1.00000000e+02
 -2.70862626e-01 -3.00000000e+00  1.00000000e+00]",152,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.33975201e+01 -1.82058275e+00 -1.64920444e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.02497923e+00  1.05740334e+02  3.59788025e+02  3.74349113e-05
  1.00000000e+00  1.00000000e+00  2.86835492e+01  1.99967534e+01
  2.19805331e+01  2.86835492e+01  1.05066373e+01  1.29788312e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.00000000e+01  1.00000000e+02
  2.18158319e-01 -3.00000000e+00  1.00000000e+00]",152,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.33881207e+01 -1.82080710e+00 -1.64950047e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.02555954e+00  1.05736809e+02  3.59789520e+02  4.15611980e-04
  1.00000000e+00  1.00000000e+00  2.86775994e+01  1.99967534e+01
  2.19805331e+01  2.86775994e+01  1.34213700e+00  1.29709615e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.00000000e+01  1.00000000e+02
  2.18158319e-01 -3.00000000e+00  1.00000000e+00]",152,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.31127682e+01 -1.82727957e+00 -1.65738888e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.02804065e+00  1.05729927e+02  3.59803925e+02  3.07838192e-05
  1.00000000e+00  1.00000000e+00  2.84996981e+01  1.99967534e+01
  2.19805331e+01  2.84996981e+01  1.08030658e+01  1.29769215e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.00000000e+01  1.00000000e+02
  2.72100714e-01 -3.00000000e+00  1.00000000e+00]",76,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.31127682e+01 -1.82727957e+00 -1.65738888e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01  1.00000000e+00
  1.02803969e+00  1.05729927e+02  3.59803925e+02  3.06247977e-05
  2.00000000e+00  2.00000000e+00  2.84996981e+01  1.99967534e+01
  2.19805331e+01  2.84996981e+01  1.08031559e+01  1.29769220e+00
  2.72452758e+01  3.17932394e+00  9.96628265e+00  1.65928098e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.00000000e+01  1.00000000e+02
  2.72100714e-01 -3.00000000e+00  1.00000000e+00]",58,by model,0.213,No collision,"[0, 0, 0.213131, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.75297260e+00 -2.10808325e+00 -2.36367607e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.06395531e+00  1.05845001e+02  4.63300105e-03  9.28325514e+00
  3.00000000e+00  3.00000000e+00  2.37952387e+01  1.99967534e+01
  2.19805331e+01  2.37952387e+01  9.87224603e-01  1.29745405e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  3.36745882e+01  0.00000000e+00  1.00000000e+02
  2.06097676e-01  1.73176680e+00  1.00000000e+00]",44,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 46.76729965  -3.03510833 -37.07966232   0.           0.
   1.          12.          -1.           0.85864937 107.25881958
 358.2678833    9.437285     4.           4.          48.66500937
   9.99955529  12.96076987  59.76030085   1.34326903   1.27749422
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          19.86012507   0.         100.
  -0.6546794    1.42203864   1.        ]",108,by model,0.575,No collision,"[0.423172, 0.575098, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.00039215e+02 -3.81053138e+00 -4.91911125e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  5.70762694e-01  1.00850487e+02  3.58975555e+02  9.69804441e+00
  5.00000000e+00  5.00000000e+00  1.02505781e+01  1.54073130e+01
  1.19753211e+01  1.11544297e+02  1.63022982e+01  1.37512327e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -8.12300079e-01  3.09800110e-01  1.00000000e+00]",108,by model,0.869,No collision,"[0.431668, 0.868907, 0.672998, 0.476077, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.55867188e+02 -4.42597151e+00 -6.12142181e+01  0.00000000e+00
  0.00000000e+00  1.00000000e+00  1.20000000e+01 -1.00000000e+00
  6.64309442e-01  1.03945503e+02  3.59666046e+02  6.22493350e+00
  6.00000000e+00  6.00000000e+00  1.02654882e+01  6.46408569e+00
  1.18244780e+01  1.67515223e+02  5.37072608e+01  1.31936941e+00
  4.19471441e+01  4.59919999e+00  1.55792707e+00  2.18847741e+00
  0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.65218691e+01  0.00000000e+00  1.00000000e+02
 -4.77467334e-02  2.53105367e-01  1.00000000e+00]",58,by model,0.81,No collision,"[0, 0.436368, 0.551778, 0.684396, 0.134481, 0.697185, 0.534012, 0.810417, 0, 0, 0, 0]",False
