Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-4.01626472e+01 -1.40031505e+00 -1.18386564e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.49881983e+00  1.05019081e+02  3.59166290e+02  9.71055700e-04]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-4.01503677e+01 -1.40070748e+00 -1.18446016e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46654356e+00  1.05017448e+02  3.59165344e+02  5.02693433e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-36.4490242   -1.49545038 -12.85349941   0.           0.
   0.          12.          -1.           1.30424094 105.19836426
 359.04998779   3.86686112]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-26.67517471  -1.76146305 -15.57526398   0.           0.
   0.          12.           1.           0.8870995  105.65681458
 359.51104736   0.44056425]",118,randomly,0.072,No collision,"[0, 0, 0.072405, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.82143462e-01  1.05619644e+02  3.59513367e+02  4.89838337e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.82146323e-01  1.05619644e+02  3.59513367e+02  4.89947423e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.82143342e-01  1.05619644e+02  3.59513367e+02  4.87984537e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.82144296e-01  1.05619644e+02  3.59513367e+02  4.89733036e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.82146323e-01  1.05619644e+02  3.59513367e+02  4.89019742e-05]",57,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.61813850e+01 -1.77066052e+00 -1.57161102e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.82146084e-01  1.05619644e+02  3.59513367e+02  4.89877119e-05]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
