Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-37.91758347  -1.45864356 -12.44793987   0.           0.
   0.          12.          -1.           1.31194746 105.14572144
 359.04904175   3.17674405]",117,by model,0.594,No collision,"[0.594339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-27.65839386  -1.73474348 -15.29560375   0.           0.
   0.          12.          -1.           1.1686604  105.66262054
 359.41525269   0.60800597]",117,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.56623774e+01 -1.89499259e+00 -1.86842251e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  3.95460159e-01  1.05814255e+02  2.43964437e-02  8.08068080e+00]",117,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 36.67694855  -2.86659217 -34.46638489   0.           0.
   0.          12.           1.           1.09934986 112.35759735
 358.5809021    9.09451844]",117,by model,0.801,No collision,"[0.033844, 0.80117, 0.517511, 0, 0, 0.188558, 0.304754, 0.252899, 0.190566, 0.415893, 0.44845, 0.378674]",False
0,"[ 96.21382904  -3.75576329 -47.78386688   0.           0.
   0.          12.           1.           0.6710341  102.95085144
 358.95956421  11.09130742]",117,by model,0.732,No collision,"[0.262117, 0.731671, 0.529378, 0.393129, 0.219143, 0, 0, 0.07654, 0, 0, 0, 0]",False
0,"[165.40490723  -4.53592348 -63.36558533   0.           0.
   0.          12.           1.           0.47496811 105.65646362
 359.75512695  12.5012213 ]",115,randomly,0.28,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.153939, 0.27953]",False
0,"[254.2674408   -6.01634789 -86.56890869   0.           0.
   0.          12.          -1.           1.07604742 104.68276978
 359.93847656  19.68611838]",117,by model,0.954,No collision,"[0.434282, 0.58101, 0.79266, 0.924726, 0.954293, 0.94886, 0.941024, 0.939449, 0.927686, 0.089361, 0.279271, 0]",False
0,"[ 3.21677826e+02 -7.19942713e+00 -9.52203293e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.93779600e-01  5.34373627e+01  1.84540246e-02  5.58318640e+00]",117,by model,1.0,OBSTACLE,"[0, 1, 0, 0, 0.055062, 0.14725, 0.220408, 0.254218, 0, 0.208554, 0.251579, 0]",False
0,"[ 3.25268250e+02 -7.18893290e+00 -9.11708221e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59083893e+02  3.83582497e+01  3.54271851e+02  9.05432674e-03]",117,by model,0.737,No collision,"[0.155902, 0.652421, 0, 0.736556, 0.362248, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.25311157e+02 -7.18792820e+00 -9.11735840e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59003448e+02  3.83909378e+01  3.54379639e+02  9.84116073e-03]",117,by model,0.323,No collision,"[0, 0, 0, 0.322957, 0, 0, 0, 0, 0, 0, 0, 0]",False
