Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.9429512   -1.43255615 -12.16865826   0.           0.
   0.          12.          -1.           1.21134162 105.08309174
 359.07650757   3.0654666 ]",35,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.68553638e+01 -1.75706601e+00 -1.55233994e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  9.33247507e-01  1.05729652e+02  3.59564545e+02  5.26208388e-05]",37,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590703e+00 -1.59865646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03481758e+00  1.05640984e+02  3.59583893e+02  4.90361738e-05]",35,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.03481650e+00  1.05640984e+02  3.59583893e+02  4.85686363e-05]",47,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.03481495e+00  1.05640984e+02  3.59583893e+02  4.85460235e-05]",35,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.03481519e+00  1.05640984e+02  3.59583893e+02  4.85620633e-05]",22,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03481567e+00  1.05640984e+02  3.59583893e+02  4.86018433e-05]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03481662e+00  1.05640984e+02  3.59583893e+02  4.85881218e-05]",33,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03481615e+00  1.05640984e+02  3.59583893e+02  4.86142866e-05]",23,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.52254791e+01 -1.78590691e+00 -1.59865646e+01  0.00000000e+00
  2.00000003e-01  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03481340e+00  1.05640984e+02  3.59583893e+02  4.87168873e-05]",17,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.85073853  -1.46041572 -12.46577835   0.           0.
   0.          12.          -1.           1.25717151 105.14303589
 359.04949951   3.85864941]",25,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-1.87195702e+01 -1.87246907e+00 -1.78313637e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.21072054e-01  1.05707405e+02  3.59709656e+02  4.61692259e+00]",47,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 41.39321136  -2.90264988 -34.12949371   0.           0.
   0.          12.          -1.           0.79199308 102.62787628
 358.33322144  13.70576367]",14,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[108.74766541  -3.87812686 -48.83691406   0.           0.
   0.          10.           1.           0.59563053 103.55905151
 359.83935547   8.35793307]",36,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[157.81277466  -4.44632959 -61.37573624   0.           0.
   0.          10.           1.           0.67754894 104.62290955
 359.64788818   8.47462623]",21,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 2.04662369e+02 -5.06315422e+00 -7.35567474e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  9.87605453e-01  1.04649323e+02  1.82718217e-01  8.44988781e+00]",29,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[237.30052185  -5.7077961  -82.10948944   0.           0.
   0.          10.          -1.           1.02257848 104.74774933
 359.48550415   3.27257922]",25,randomly,1.0,Jeep(Clone)149e37e0-a3f3-4a5a-8aca-e88fe8702847,"[0, 0, 0, 0, 0.414728, 0.704816, 1, 0, 0, 0, 0, 0]",False
