Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[147.18367004  35.49567032  61.84550476   0.           0.
   0.          12.           1.         359.73925781  52.68939972
 359.97717285   4.99435531]",0,by model,0.689,No collision,"[0, 0, 0.012757, 0.460186, 0.689014, 0.583346, 0.325246, 0.030421, 0, 0, 0, 0]",False
0,"[1.82791855e+02 3.56477661e+01 9.58208160e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59625275e+02 4.77721634e+01 1.19039208e-01 1.00649068e+01]",46,by model,0.38,No collision,"[0, 0.063496, 0.250886, 0, 0.161523, 0.379624, 0.263154, 0, 0, 0, 0, 0]",False
0,"[2.31695831e+02 3.56418991e+01 1.37832626e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 2.07150236e-01 4.97192688e+01 3.24267335e-03 9.22869511e+00]",0,by model,0.606,No collision,"[0, 0.056374, 0.370426, 0.59472, 0.605666, 0.289048, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53580627e+02  3.57249031e+01  1.56387726e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59844025e+02  4.98472939e+01  4.46489919e-03  9.47221686e-04]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53990753e+02  3.57276154e+01  1.56733582e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59654236e+02  4.98372612e+01  4.62105405e-03  3.40331419e-01]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.54047134e+02  3.57280388e+01  1.56781021e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693542e+02  4.98321266e+01  4.40897699e-03  2.38221117e-05]",33,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.54121429e+02  3.57285538e+01  1.56843689e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693542e+02  4.98285103e+01  4.69658198e-03  1.57411303e-04]",33,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.54121429e+02  3.57285538e+01  1.56843689e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693542e+02  4.98285103e+01  4.69658198e-03  1.57411303e-04]",33,by model,0.611,No collision,"[0, 0, 0, 0, 0, 0, 0.102403, 0.275655, 0.413262, 0.464772, 0.611288, 0.602597]",False
0,"[2.68339844e+02 3.57614746e+01 1.68795547e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.37042332e-01 4.99610176e+01 1.18699120e-02 8.72728580e+00]",0,by model,0.785,No collision,"[0.492594, 0.322672, 0.638619, 0.784662, 0.553119, 0.241186, 0, 0, 0, 0, 0, 0]",False
0,"[310.44949341  35.40040588 206.75483704   0.           0.
   0.          12.           1.           0.54125482  46.44472885
 359.97116089   7.36931789]",20,by model,1.0,Sedan(Clone)646e3dd7-9760-411c-b922-c9a4a356c6e6,"[0.252936, 0.281622, 1, 0.056337, 1, 0.065138, 0.064818, 0.065293, 0.06514, 0.064873, 0.065546, 0.065158]",False
0,"[3.16216797e+02 3.52433281e+01 2.12205063e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 0.00000000e+00
 1.62429535e+00 4.73087196e+01 3.12046241e-02 2.44164960e-03]",0,by model,0.066,No collision,"[0.065599, 0.065713, 0.065373, 0.065755, 0.065426, 0.065272, 0.065518, 0.065578, 0.065618, 0.065443, 0.06542, 0.065453]",False
0,"[ 3.16214508e+02  3.52428055e+01  2.12224060e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.69584548e+00  4.72032280e+01 -2.78185238e-04  4.26431749e-03]",0,by model,0.127,No collision,"[0.065425, 0.065491, 0.065557, 0.065513, 0.126869, 0.065579, 0.065563, 0.065643, 0.065641, 0.065701, 0.065733, 0.06569]",False
0,"[ 3.16212830e+02  3.52426872e+01  2.12231979e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.71286333e+00  4.71282921e+01  1.84775144e-03  1.70445279e-03]",0,by model,0.258,No collision,"[0.127195, 0.127156, 0.065827, 0.065839, 0.065854, 0.065909, 0.127527, 0.097849, 0.153768, 0.204635, 0.238522, 0.258463]",False
