Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-38.32543945  -1.44836926 -12.33619213   0.           0.
   0.          12.          -1.           1.33875048 105.1075592
 359.04681396   2.51803221]",27,by model,0.32,No collision,"[0.320138, 0, 0.204909, 0.1915, 0.236479, 0.20485, 0.072142, 0.112353, 0.154175, 0, 0, 0]",False
0,"[-2.78118248e+01 -1.73123443e+00 -1.52511663e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.21684527e+00  1.05645912e+02  3.59402557e+02  1.73776816e-01]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.15019436e+01 -1.84471762e+00 -1.70257092e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.57634938e-01  1.05593025e+02  3.59742676e+02  6.83727815e-05]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-1.61575851e+01 -1.89006090e+00 -1.85328941e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.60101616e-01  1.05740715e+02  1.37841171e-02  6.50231487e+00]",14,by model,0.021,No collision,"[0, 0, 0, 0, 0, 0.021385, 0, 0, 0, 0, 0, 0]",False
0,"[ 28.36617088  -2.64619064 -29.66827583   0.           0.
   0.          12.           1.           0.98103034 104.42005157
 359.20278931   6.80399621]",39,by model,1.0,No collision,"[0, 0.999741, 0.999714, 0.999682, 0.999648, 0.999611, 0.999573, 0.999534, 0.999495, 0.999455, 0.999413]",False
0,"[ 73.94207001  -3.44209433 -42.11135483   0.           0.
   0.          12.           1.           0.84565657 102.75196075
 358.65826416   9.24657436]",39,by model,0.999,No collision,"[0.999327, 0.999282, 0.999234, 0.999186, 0.999137, 0.999087, 0.999036, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[135.82789612  -4.18012476 -56.42195511   0.           0.
   0.          12.          -1.           0.65692139 103.62965393
 359.85113525  11.34528924]",39,by model,0.999,No collision,"[0.999, 0.999, 0.999, 0.999193, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 2.06704300e+02 -5.10053205e+00 -7.41835632e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  7.45069265e-01  1.04636360e+02  1.98178306e-01  1.53088572e+01]",7,by model,0.999,No collision,"[0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999, 0.999]",False
0,"[ 3.25252869e+02 -7.21137524e+00 -1.05851631e+02  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.04255450e-01  1.02913635e+02  3.59630371e+02  2.00027437e+01]",37,by model,0.349,No collision,"[0.348591, 0.3285, 0.08874, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31567871e+02 -7.15958261e+00 -7.82113037e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.55008514e+02  3.13010895e+02  3.57495850e+02  4.73380928e-03]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.34059357e+02 -7.35766077e+00 -8.04671707e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.58489868e+02  3.12854950e+02  3.59215363e+02  4.47499351e-01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.32757904e+02 -7.31651688e+00 -7.91945724e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.54607025e+02  3.13813782e+02  3.58098022e+02  2.78325382e+00]",46,randomly,0.999,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999]",False
0,"[ 3.33757904e+02 -7.34581757e+00 -8.01423492e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.57543793e+02  3.14441833e+02  3.58982788e+02  7.41301161e-03]",15,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.32508026e+02 -7.26786852e+00 -7.88737106e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.55307404e+02  3.15168030e+02  3.55103973e+02  5.80354417e-01]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31740112e+02 -7.16695309e+00 -7.80443726e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.55130310e+02  3.15639526e+02  3.57564392e+02  4.04889750e-03]",1,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31756744e+02 -7.16781139e+00 -7.80266876e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.55107880e+02  3.15082977e+02  3.57643127e+02  4.03334037e-03]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31773285e+02 -7.16865206e+00 -7.80087280e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.55086975e+02  3.14524658e+02  3.57710083e+02  3.44971032e-03]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31789307e+02 -7.16961575e+00 -7.79910507e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.55076569e+02  3.13989441e+02  3.57788696e+02  4.02899466e-03]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31804443e+02 -7.17071104e+00 -7.79741669e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  3.55080811e+02  3.13496368e+02  3.57856140e+02  3.10613569e-03]",28,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.31819458e+02 -7.17239141e+00 -7.79575424e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  0.00000000e+00
  3.55129364e+02  3.13067291e+02  3.57924652e+02  4.25083777e-03]",37,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.37088394  -1.47286677 -12.63145828   0.           0.
   0.          12.          -1.           1.29000735 105.59592438
 359.02053833   3.94843971]",34,randomly,0.792,No collision,"[0.189486, 0.791708, 0.198393, 0.188781, 0, 0, 0, 0, 0.156414, 0.208369, 0.167564, 0.128587]",False
1,"[-1.69019413e+01 -1.88487244e+00 -1.84769306e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  2.18083322e-01  1.05858772e+02  3.59841980e+02  7.37557716e+00]",12,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 37.33068466  -2.80155015 -31.95624542   0.           0.
   0.          20.          -1.           0.94614804  96.26113892
 358.5480957    6.63454951]",39,by model,0.342,No collision,"[0, 0, 0.342368, 0, 0, 0.030088, 0, 0, 0, 0, 0, 0]",False
