Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.89778137  -1.48415422 -12.72725296   0.           0.
   0.          12.          -1.           1.34547293 105.21316528
 359.05426025   3.57070253]",29,by model,0.344,No collision,"[0.343617, 0.264647, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.02420578e+01 -1.66789889e+00 -1.45731831e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75480235e+00  1.05577003e+02  3.59268463e+02  6.37096278e-05]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.02420578e+01 -1.66790891e+00 -1.45737524e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.75483847e+00  1.05577011e+02  3.59268066e+02  6.40086520e-05]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.02420578e+01 -1.66791940e+00 -1.45743227e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.75487745e+00  1.05577019e+02  3.59267700e+02  6.39272834e-05]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.10936666e+00 -2.02181530e+00 -2.23396168e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.35103035e+00  1.04922462e+02  5.45629822e-02  6.91507842e+00]",33,by model,0.811,No collision,"[0, 0, 0.007005, 0.052546, 0.174425, 0.441788, 0.748569, 0.81069, 0.769062, 0.634803, 0.588791, 0.572387]",False
0,"[ 63.27685928  -3.21606541 -34.04528046   0.           0.
   0.          12.           1.           1.05822027  99.09518433
   2.2612319   13.70602152]",44,by model,0.626,No collision,"[0.457424, 0.528357, 0.421242, 0.382006, 0.41164, 0.449072, 0.48682, 0.523805, 0.559414, 0.594007, 0.625043, 0.62566]",False
0,"[140.22373962  -4.22834969 -57.02069855   0.           0.
   0.          12.          -1.           0.62978375 104.01118469
 359.85379028  13.50638861]",33,by model,0.719,No collision,"[0.608364, 0.669714, 0.719075, 0.679501, 0.642548, 0.561921, 0.563622, 0.622734, 0.63223, 0.634818, 0.647605, 0.670925]",False
0,"[220.76896667  -5.37918949 -77.75083923   0.           0.
   0.          12.          -1.           1.08258975 104.58750916
 359.90386963  14.62335999]",1,randomly,0.707,No collision,"[0.701044, 0.706771, 0.70584, 0.692368, 0.675126, 0.651286, 0.64321, 0.475745, 0.357407, 0.245484, 0.0417, 0]",False
0,"[ 2.99383850e+02 -6.83961773e+00 -9.88401184e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.00671339e+00  1.05162354e+02  1.70086905e-01  9.61059412e+00]",37,by model,0.134,No collision,"[0, 0, 0, 0.1337, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.32068665e+02 -7.32031584e+00 -9.06176834e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.80038291e-01  4.24856148e+01  3.59503693e+02  3.54141844e+00]",22,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36135925e+02 -7.34666300e+00 -8.57126694e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  2.69459933e-01  3.88139763e+01  3.59524414e+02  2.32827465e-05]",38,by model,0.613,No collision,"[0, 0.613171, 0.422341, 0.216677, 0.004825, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36135925e+02 -7.34666348e+00 -8.57126694e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  2.69467652e-01  3.88119812e+01  3.59524414e+02  2.29967539e-05]",38,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36135925e+02 -7.34666348e+00 -8.57126694e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  2.69442499e-01  3.88099785e+01  3.59524384e+02  2.46395516e-05]",38,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36135925e+02 -7.34666348e+00 -8.57126694e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.69432038e-01  3.88079834e+01  3.59524384e+02  2.20933223e-05]",38,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.36135925e+02 -7.34666348e+00 -8.57126694e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  2.69426435e-01  3.88059845e+01  3.59524353e+02  2.29426641e-05]",4,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.87136841  -1.45970523 -12.46062946   0.           0.
   0.          12.          -1.           1.37469375 105.14893341
 359.05023193   2.67316395]",29,by model,0.745,No collision,"[0, 0.745135, 0.098175, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.31795807e+01 -1.58087313e+00 -1.37514858e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54917526e+00  1.05363220e+02  3.59113373e+02  5.54843724e-05]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.31795807e+01 -1.58087325e+00 -1.37514858e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54917538e+00  1.05363220e+02  3.59113373e+02  5.55517507e-05]",29,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-3.31795807e+01 -1.58087325e+00 -1.37514858e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.54917562e+00  1.05363220e+02  3.59113373e+02  5.55769696e-05]",14,randomly,0.397,No collision,"[0, 0, 0, 0.062282, 0, 0, 0, 0, 0, 0.396885, 0.327453, 0.221475]",False
1,"[ -0.36261132  -2.06029034 -22.38448143   0.           0.
   0.          12.          -1.           1.13199258 102.1049118
   0.11192202   7.14652397]",33,by model,1.0,No collision,"[0.368175, 0.13069, 0.999924, 0.999939, 0.999935, 0.999934, 0.999943, 0.999951, 0.999956, 0.999968, 0.999974, 0.999983]",False
1,"[ 38.48693848  -2.80903959 -31.46130562   0.           0.
   0.          12.           1.           0.66145533 104.33132172
 359.36804199  12.78224778]",33,by model,1.0,No collision,"[0.999984, 0.999982, 0.999961, 0.99995, 0.999935, 0.999909, 0.999886, 0.999883, 0.999889, 0.999898, 0.999907, 0.999915]",False
1,"[118.70269012  -3.98365808 -51.48121643   0.           0.
   0.          12.          -1.           0.53176725 104.25605774
 359.94570923  14.26139079]",33,by model,1.0,No collision,"[0.999921, 0.999937, 0.999944, 0.999946, 0.999939, 0.999924, 0.999908, 0.999889, 0.999868, 0.999847, 0.999821, 0.999794]",False
1,"[227.73695374  -5.52444696 -79.06170654   0.           0.
   0.          12.          -1.           1.08499801 104.01396179
 359.87319946  19.13558857]",33,by model,1.0,No collision,"[0.999766, 0.999738, 0.99969, 0.999643, 0.999609, 0.999589, 0.999595, 0.999602, 0.999607, 0.999605, 0.999585, 0.999572]",False
1,"[ 315.53707886   -7.06215096 -102.20413971    0.            0.
    0.           12.           -1.            0.75929892   93.75650024
  359.08914185    9.81798432]",33,by model,0.374,No collision,"[0.374395, 0.200942, 0.260613, 0.224166, 0, 0, 0, 0, 0, 0, 0, 0]",False
