Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-39.20986176  -1.42548609 -12.09632301   0.           0.
   0.          12.          -1.           1.28620148 105.06336975
 359.09570312   1.99843706]",41,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.97687244e+01 -1.68324065e+00 -1.47010307e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.84038746e+00  1.05517708e+02  3.59283478e+02  2.78989239e-04]",6,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.97686462e+01 -1.68327212e+00 -1.47015753e+01  0.00000000e+00
  1.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.82314253e+00  1.05517609e+02  3.59283569e+02  6.19413611e-05]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.97686462e+01 -1.68328214e+00 -1.47021446e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.82318735e+00  1.05517616e+02  3.59283203e+02  6.21537556e-05]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 9.41210270e+00 -2.28702164e+00 -2.56471596e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.49488544e+00  1.04692642e+02  3.59771301e+02  1.07397492e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 53.04698563  -3.04301667 -33.15039444   0.2          0.
   0.2         12.           1.           1.05562747  95.14130402
   0.36165208   5.75436591]",45,randomly,0.164,No collision,"[0, 0.164299, 0, 0, 0, 0, 0.099261, 0, 0, 0, 0, 0]",False
0,"[ 1.02093788e+02 -3.79490376e+00 -4.59043732e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.83597565e-01  1.05523735e+02  3.59811493e+02  9.90101049e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.64182312e+02 -4.52009392e+00 -6.27032890e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  6.12048566e-01  1.04854225e+02  3.59689453e+02  1.12551483e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.31986252e+02 -5.60162544e+00 -8.06156006e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.05428779e+00  1.04774796e+02  3.59677551e+02  1.20613134e+01]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.98751129e+02 -6.82942200e+00 -9.87246933e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  9.63759959e-01  1.05187439e+02  1.19528942e-01  9.78780937e+00]",1,by model,0.117,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.117088]",False
0,"[ 3.28813416e+02 -7.24840736e+00 -1.02420189e+02  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  7.86697209e-01  6.49139099e+01  3.59608093e+02  2.10599540e-02]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.40685303e+02 -7.43293476e+00 -8.52704163e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.57819092e-01  1.35926380e+01  3.58181641e+02  8.12555584e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.53419800e+02 -7.59689474e+00 -4.48047676e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  5.62298536e-01  2.33355103e+01  3.57330170e+02  5.40463103e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.64223389e+02 -7.70918179e+00 -4.83976698e+00  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  3.97162199e-01  2.09116211e+01  3.57133850e+02  5.42678418e+00]",1,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.82777710e+02 -7.92532396e+00  7.26354141e+01  2.00000003e-01
  0.00000000e+00  2.00000003e-01  1.20000000e+01  1.00000000e+00
  1.67476401e-01  1.89086857e+01  3.58470154e+02  1.76720929e+01]",1,by model,0.522,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.229612, 0.402252, 0.521916]",True
