Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[1.50420837e+02 3.54965401e+01 6.44136047e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59988983e+02 5.16746483e+01 3.59941284e+02 6.01600248e+00
 1.34872829e+00 5.38155411e+00 1.00000000e+05 1.00000000e+03
 1.00000000e+03 1.00000000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.57000000e+01 0.00000000e+00 1.00000000e+02
 1.59332624e+00 2.36775402e-01 1.00000000e+00]",40,by model,0.043,No collision,"[0, 0, 0, 0, 0.043498, 0, 0, 0, 0, 0, 0, 0]",False
0,"[1.89414322e+02 3.56854439e+01 1.01754639e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59812103e+02 4.90046387e+01 8.83297250e-02 1.06882167e+01
 1.34978790e+00 5.42749797e+00 7.42585079e+01 4.00107325e+00
 1.84370929e+01 7.42585079e+01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.57000000e+01 0.00000000e+00 1.00000000e+02
 4.60909601e-02 9.11485553e-01 1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.37183395e+02  3.56356163e+01  1.42415070e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.33244386e-02  4.98092690e+01  3.15729119e-02  7.96895366e+00
  1.34831597e+00  5.41370424e+00  8.76626428e+01  1.40017961e+01
  1.51274624e+02  8.76626428e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  3.55337291e+01  1.00000000e+02
  1.24566753e+00 -2.60618241e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53353226e+02  3.57231140e+01  1.56157257e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59740265e+02  4.97722626e+01  4.97128116e-03  8.36132629e-01
  1.35023199e+00  5.41447337e+00  3.40932120e+01  1.24231861e+01
  1.26636037e+01  2.99748372e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.12962963e+01  1.00000000e+02
 -1.39539553e-01 -3.00000000e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53458710e+02  3.57238312e+01  1.56246475e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693512e+02  4.97748451e+01  4.98374784e-03  1.16143092e-04
  1.35050708e+00  5.41443426e+00  3.08250909e+01  7.97325345e+00
  1.52947200e+02  1.17176334e+02  0.00000000e+00  0.00000000e+00
  1.74872517e+00  6.30285776e+00  1.92483691e+00  1.05243987e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99850493e+01  1.00000000e+02
 -1.39280278e-01 -3.00000000e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53458710e+02  3.57238350e+01  1.56246475e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693512e+02  4.97748489e+01  4.94419318e-03  1.25623896e-04
  1.35050708e+00  5.41443426e+00  3.32333849e+01  7.71477815e+00
  1.00332184e+02  2.99884096e+02  0.00000000e+00  0.00000000e+00
  1.91275137e+00  1.65763056e-01  5.59913426e+00  1.04700627e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99823080e+01  1.00000000e+02
 -1.39280278e-01 -3.00000000e+00  1.00000000e+00]",0,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.53458710e+02  3.57238350e+01  1.56246475e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59693512e+02  4.97748489e+01  4.96983342e-03  1.24542859e-04
  1.35050708e+00  5.41443426e+00  2.17106329e+02  3.99987880e+00
  1.37929900e+01  2.99884096e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99824602e+01  1.00000000e+02
 -1.39280278e-01 -3.00000000e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[2.65849670e+02 3.57784386e+01 1.66677353e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 6.63998723e-02 4.99757996e+01 5.10586472e-03 8.11410879e+00
 1.34824766e+00 5.41092090e+00 2.18236462e+01 6.03218735e+00
 1.81729479e+01 3.15812419e+02 0.00000000e+00 0.00000000e+00
 1.23940495e+00 1.03809716e-01 6.03218813e+00 1.12342700e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.88214611e+01 0.00000000e+00 1.00000000e+02
 9.21013877e-02 1.94635890e+00 1.00000000e+00]",40,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[2.65849670e+02 3.57784386e+01 1.66677353e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 6.63998723e-02 4.99757996e+01 5.10586472e-03 8.11410879e+00
 1.34824766e+00 5.41092090e+00 2.18236462e+01 6.03218735e+00
 1.81729479e+01 3.15812419e+02 0.00000000e+00 0.00000000e+00
 1.23940495e+00 1.03809716e-01 6.03218813e+00 1.12342700e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.52946717e+01 0.00000000e+00 1.00000000e+02
 9.21013877e-02 9.24422756e-01 1.00000000e+00]",40,by model,0.256,No collision,"[0, 0, 0.25585, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.01969666e+02  3.54158745e+01  1.98670303e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.85970618e-02  4.64940338e+01  3.59980835e+02  8.68554674e+00
  1.34829150e+00  5.47179236e+00  7.40671565e+01  1.40000191e+01
  1.74257283e+01  7.40671565e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.37682381e+01  1.00000000e+02
  3.18107272e-01 -1.45125749e+00  1.00000000e+00]",40,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
