Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[1.50751450e+02 3.54963989e+01 6.41688232e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59884155e+02 5.48611679e+01 2.28153080e-01 6.44400095e+00
 1.34935103e+00 5.32464259e+00 1.00000000e+05 1.00000000e+03
 1.00000000e+03 1.00000000e+05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.07509622e+01 0.00000000e+00 1.00000000e+02
 4.95154382e+00 1.34121770e+00 1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[1.91807205e+02 3.56920662e+01 1.03849007e+02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.20000000e+01 1.00000000e+00
 3.59891266e+02 4.91682014e+01 8.66466612e-02 1.08770033e+01
 1.34930670e+00 5.42465088e+00 2.83039338e+01 1.40024756e+01
 1.49921122e+02 2.83039338e+01 0.00000000e+00 0.00000000e+00
 3.82667099e+00 6.22725894e+00 9.53645096e+00 3.89159636e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.57000000e+01 0.00000000e+00 1.00000000e+02
 2.76122951e-01 7.80294609e-01 1.00000000e+00]",38,by model,0.371,No collision,"[0, 0, 0, 0.09447, 0.071921, 0.202748, 0.234308, 0.109608, 0, 0, 0.127341, 0.37054]",False
0,"[ 2.38237137e+02  3.56371384e+01  1.43393417e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.26664385e-02  4.96884155e+01  7.16515956e-03  7.17108269e+00
  1.41997815e+00  5.41596726e+00  1.07276356e+01  1.40016213e+01
  1.53204405e+02  1.07276356e+01  0.00000000e+00  0.00000000e+00
  5.28799448e+01  8.14309540e+00  5.02935103e+01  1.05697560e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.79014025e+01  1.00000000e+02
  2.22065514e-01 -1.82516206e+00  1.00000000e+00]",32,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.38237137e+02  3.56371384e+01  1.43393417e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.26664385e-02  4.96884155e+01  7.16515956e-03  7.17108269e+00
  1.34826093e+00  5.41593320e+00  1.07276356e+01  1.40016213e+01
  1.53204405e+02  1.07276356e+01  0.00000000e+00  0.00000000e+00
  5.28799448e+01  8.14309540e+00  5.02935103e+01  1.05697560e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.54096294e+01  1.00000000e+02
  2.40286194e-01 -3.92197081e+00  1.00000000e+00]",32,by model,0.918,No collision,"[0.617556, 0.867358, 0.897722, 0.850965, 0.816546, 0.80674, 0.841088, 0.884558, 0.909492, 0.917631, 0.914679, 0.900251]",False
0,"[ 2.52812790e+02  3.57194824e+01  1.55734818e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59738434e+02  4.98447113e+01  4.47830977e-03  8.57336297e-01
  1.35023425e+00  5.41321451e+00  3.19353229e+00  0.00000000e+00
  1.52667107e+02  4.50400152e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.12962963e+01  1.00000000e+02
 -1.28931810e-01 -3.00000000e+00  1.00000000e+00]",38,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.52812790e+02  3.57194824e+01  1.55734818e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  3.59738434e+02  4.98447113e+01  4.47830977e-03  8.57336297e-01
  1.35023425e+00  5.41321451e+00  3.19353229e+00  0.00000000e+00
  1.52667107e+02  4.50400152e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.12962963e+01  1.00000000e+02
 -1.28931810e-01 -3.00000000e+00  1.00000000e+00]",2,randomly,0.902,No collision,"[0.898485, 0.900316, 0.901224, 0.35266, 0.35266, 0.35266, 0.901774, 0.35266, 0.35266, 0.656831, 0.352617, 0.69386]",False
0,"[ 2.52927917e+02  3.57202682e+01  1.55831955e+02  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693604e+02  4.98471909e+01  4.57964046e-03  1.30048914e-04
  1.35050940e+00  5.41317565e+00  3.24058201e+00  0.00000000e+00
  1.52666990e+02  2.99219096e+02  0.00000000e+00  0.00000000e+00
  5.04974685e+01  8.13023306e+00  5.00000000e+01  1.06310623e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99797976e+01  1.00000000e+02
 -1.29767171e-01 -3.00000000e+00  1.00000000e+00]",14,randomly,0.791,No collision,"[0.352617, 0.580896, 0.352617, 0.790851, 0.767188, 0.76595, 0.763335, 0.775689, 0.784563, 0.76352, 0.352617, 0.764955]",False
0,"[ 2.52927917e+02  3.57202682e+01  1.55831955e+02  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693604e+02  4.98471947e+01  4.50893585e-03  1.50790901e-04
  1.35050940e+00  5.41317565e+00  3.24058201e+00  0.00000000e+00
  1.52666553e+02  2.99219096e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99787636e+01  1.00000000e+02
 -1.29767171e-01 -3.00000000e+00  1.00000000e+00]",35,by model,0.878,No collision,"[0.78751, 0.774744, 0.757234, 0.352617, 0.769318, 0.769306, 0.755713, 0.877796, 0.755887, 0.756759, 0.754464, 0.352617]",False
0,"[ 2.52927917e+02  3.57202682e+01  1.55831955e+02  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693665e+02  4.98471947e+01  4.45330655e-03  1.32215273e-04
  1.35050940e+00  5.41317565e+00  3.24058201e+00  0.00000000e+00
  1.52666522e+02  2.99219096e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99813797e+01  1.00000000e+02
 -1.29767171e-01 -3.00000000e+00  1.00000000e+00]",35,by model,0.0,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",False
0,"[ 2.52927917e+02  3.57202682e+01  1.55831955e+02  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  3.59693665e+02  4.98471947e+01  4.45330655e-03  1.32215273e-04
  1.35050940e+00  5.41317565e+00  3.24058201e+00  0.00000000e+00
  1.52666522e+02  2.99219096e+02  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99813797e+01  1.00000000e+02
 -1.29767171e-01 -3.00000000e+00  1.00000000e+00]",35,by model,0.946,No collision,"[0.753718, 0.352617, 0.352617, 0.874461, 0.790117, 0.470423, 0.318169, 0, 0, 0.294993, 0.864096, 0.946036]",False
