Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.61369629e+01 -1.50507462e+00 -1.30779238e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.42352104e+00  1.06338814e+02  3.58930084e+02  1.76967150e+00
  1.33950544e+00  1.29053685e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.45000000e+01  1.00000000e+02
 -1.63636947e+00 -4.62439948e-01  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29229202e+01 -1.59128976e+00 -1.40466099e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59218526e+00  1.06624458e+02  3.58927185e+02  5.43761665e-05
  1.33836700e+00  1.28556956e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923420e+01  1.00000000e+02
  4.37664174e-01 -3.00000000e+00  1.00000000e+00]",18,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29229202e+01 -1.59128976e+00 -1.40466099e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59218538e+00  1.06624458e+02  3.58927185e+02  5.43689750e-05
  1.33836700e+00  1.28556956e+00  3.58295706e+01  9.92435373e+00
  1.78606826e+02  3.58295706e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923430e+01  1.00000000e+02
  4.37664174e-01 -3.00000000e+00  1.00000000e+00]",0,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.29229202e+01 -1.59128976e+00 -1.40466099e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.59218526e+00  1.06624458e+02  3.58927185e+02  5.43647957e-05
  1.33836700e+00  1.28556956e+00  3.58295706e+01  9.92435373e+00
  1.78606826e+02  3.58295706e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99923436e+01  1.00000000e+02
  4.37664174e-01 -3.00000000e+00  1.00000000e+00]",30,by model,0.349,No collision,"[0, 0.110473, 0.349392, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.46474111e-01 -2.06391430e+00 -2.33407707e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.23317385e+00  1.05715355e+02  1.09317049e-01  9.10975698e+00
  1.34076112e+00  1.29601147e+00  2.34344056e+01  9.92435373e+00
  1.78606826e+02  2.34344056e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.49291825e+00  1.95793805e+00  1.00000000e+00]",18,by model,0.188,No collision,"[0, 0, 0, 0.187998, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 5.93076744e+01 -3.15137243e+00 -3.49715424e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  9.11583304e-01  1.02168175e+02  7.97445104e-02  8.63385662e+00
  1.34286958e+00  1.35805406e+00  6.81977131e+01  5.00002862e+00
  1.34917803e+01  6.89227115e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.10320837e+01  0.00000000e+00  1.00000000e+02
 -1.66901386e+01  2.63131099e+00  1.00000000e+00]",18,by model,0.252,No collision,"[0.252082, 0.191771, 0, 0.107811, 0, 0.045633, 0, 0, 0, 0, 0, 0]",False
0,"[101.02701569  -3.78851032 -46.86828613   0.           0.
   0.          12.          -1.           0.80707294 104.29178619
 359.76535034   2.96778052   1.34357108   1.32243381  22.65084894
   9.99934881  13.64255625 111.43359886   0.           0.
   4.8279073    6.22679596   3.83982736   4.0030647    0.
   0.           1.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          66.23629243   0.         100.
   3.0193252    0.72907281   1.        ]",33,by model,0.551,No collision,"[0.237282, 0.473961, 0.5512, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[141.55033875  -4.24103117 -56.65435028   0.           0.
   0.          12.          -1.           0.70649189 106.21781158
   0.88705677  10.00742636   1.34422323   1.28368806  40.95348284
   9.99818047  13.77387747 152.52606384   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  16.55637304   0.89812012   1.        ]",8,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[201.74975586  -5.01425028 -72.34356689   0.           0.
   0.5         12.          -1.           0.84953219 106.08145142
   0.68314809  10.65238253   1.34328492   1.28699495  38.71838563
   9.99382168  14.06296051 214.38679616   0.           0.
 100.          10.         100.          20.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  12.1274773    0.75235268   1.        ]",16,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 2.57518402e+02 -6.07314253e+00 -8.80549164e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.02725554e+00  9.90907364e+01  3.59654541e+02  7.41600570e+00
  1.34211574e+00  1.41371658e+00  1.68602030e+01  4.99779039e+00
  1.36625251e+01  2.72224684e+02  0.00000000e+00  0.00000000e+00
  5.21846389e+01  8.13174318e+00  5.10609320e+01  1.16261322e+01
  0.00000000e+00  0.00000000e+00  1.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.63646497e+01  0.00000000e+00  1.00000000e+02
  1.42067214e+01  3.25717761e-01  1.00000000e+00]",18,randomly,0.931,No collision,"[0.024274, 0.145567, 0.059554, 0.234833, 0.428657, 0.581993, 0.752803, 0.874394, 0.930781, 0.8068, 0.739417, 0.732684]",False
