Episode,State,Action,Choosing_Type,Collision_Probability,DTO,ETTC,JERK,Collision_uid,Collision_Probability_Per_Step,DTO_list,ETTC_list,JERK_list,Done
0,"[-6.85842285e+01  1.02043333e+01 -1.16192421e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59867523e+02  2.23782669e+02  4.69614491e-02  5.68192262e+00]",10,by model,0.0,100000.0,100.0,5.379478,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0.022440892074810148, 0.3341272255952761, 2.659720028885924, 5.379477838182963, 3.5457983408720466, 0.29163807420246746, 2.8023649856293207, 2.5392817959047718, 1.666801012250732, 2.071988039864274, 0.12511707685392703, 0.470110448332553]",False
0,"[-9.83276520e+01  1.02036734e+01 -1.48099716e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  2.37100720e-02  2.24299362e+02  1.35433421e-01  8.14919015e+00]",25,by model,0.400935,13.881337,1.301433,8.124832,No collision,"[0, 0, 0, 0, 0, 0.06583, 0.400935, 0.393337, 0.148423, 0, 0, 0]","[27.010116, 24.86959, 22.494938, 19.79921, 16.579244, 13.881337, 15.069497, 19.135061, 24.453805, 29.932002, 35.485212, 41.084263]","[100, 100, 100, 100, 1.301433, 100, 100, 100, 100, 100, 100, 100]","[8.124832448206417, 5.172261646440882, 0.40492432189767325, 0.9527586714842871, 0.0003437485720034772, 1.0710249536788878, 0.4731788118932183, 1.641526622966654, 0.005890856638085085, 0.20467889647653836, 0.8609053610242586, 0.6254431976045066]",False
0,"[-1.20480797e+02  1.02041988e+01 -1.52890396e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59989502e+02  3.07658386e+02  1.59586325e-01  4.37482985e+00]",25,by model,0.424249,4.739071,3.93089,8.322844,No collision,"[0, 0, 0.424249, 0, 0.198272, 0, 0, 0, 0, 0, 0, 0]","[12.471128, 9.126688, 5.982724, 4.739071, 5.974621, 8.293833, 11.072637, 14.662946, 19.418652, 25.573526, 33.150506, 42.116748]","[3.93089, 4.180955, 4.791557, 5.652409, 100, 100, 100, 7.555255, 100, 11.807469, 93.870873, 100]","[0.30505223382130087, 2.43952481110627, 8.322844390733193, 2.1514384107639297, 0.5905822690372386, 2.0124565712973976, 3.693041660768959, 1.8397554638273785, 0.6680455056738852, 1.0259945921089777, 0.491279831473288, 2.19652694442742]",False
0,"[-146.98712158   10.20345688 -128.01965332    0.            0.
    0.           10.            1.          359.90447998  314.33840942
  359.98580933    9.26991239]",25,by model,0.62048,4.971575,9.6781,3.963893,No collision,"[0.145697, 0.62048, 0.610558, 0.148476, 0, 0, 0, 0, 0, 0, 0, 0]","[10.402603, 4.971575, 7.605274, 16.514889, 25.981533, 33.954173, 40.747931, 48.069316, 55.8605, 63.682559, 71.135908, 78.227121]","[100, 100, 100, 100, 100, 9.6781, 24.121456, 13.320622, 14.535695, 100, 100, 84.756308]","[0.807447950164984, 0.9475979265924959, 0.35836075098106335, 0.9485166455991192, 1.8490725862570812, 0.883714538355235, 2.2097291028038555, 3.963893186636424, 1.2332488733374043, 1.3624661610848805, 3.9395177104519776, 2.034820431761681]",False
0,"[-1.81380463e+02  1.02042656e+01 -9.45311737e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  7.48123378e-02  3.14814117e+02  2.67357449e-03  3.98147753e+00]",46,by model,0.583787,8.287248,2.081491,5.768681,No collision,"[0.291923, 0.54384, 0.583787, 0.320479, 0.148136, 0.003667, 0, 0, 0, 0, 0, 0]","[9.922844, 8.287248, 13.386637, 22.12349, 31.816768, 41.492486, 51.31903, 61.208849, 71.13116, 80.834915, 87.520068, 93.231096]","[100, 100, 100, 100, 100, 2.081491, 2.567796, 100, 100, 100, 100, 8.271804]","[2.4895087447300925, 2.0245111638783664, 0.048587715574385015, 0.5832607840842039, 0.5820528490192689, 0.9411223490912551, 5.76868069536161, 0.0, 0.0, 0.0, 0.0, 0.0]",False
0,"[-1.84799561e+02  1.02044859e+01 -9.11220016e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.18032326e-05  3.14937531e+02  5.55713029e-07  2.54367769e-05]",8,by model,0.0,98.817689,19.28093,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[98.817689, 104.389554, 109.960989, 115.533746, 121.107881, 126.682826, 132.259568, 137.831718, 142.595795, 145.827681, 147.873702, 149.140866]","[100, 100, 100, 100, 100, 100, 42.473747, 42.975763, 100, 19.28093, 100, 100]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
0,"[-1.84799561e+02  1.02044849e+01 -9.11220016e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  2.79212782e-05  3.14937531e+02 -5.45954435e-06  8.80727464e-06]",46,by model,0.616032,8.537938,25.246111,7.409127,No collision,"[0.11427, 0.616032, 0.545607, 0.295327, 0.131699, 0, 0, 0, 0, 0, 0, 0]","[8.537938, 9.122297, 15.088609, 23.743709, 33.224381, 43.298001, 54.035676, 64.847823, 74.673347, 80.211763, 82.848885, 84.670255]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 25.246111]","[0.0, 0.0, 0.0, 0.0, 0.0, 7.409127389722968, 1.1684894495904383, 0.8110299849650838, 0.17521698963031496, 0.3325561048369179, 2.8386896134158808, 0.39410098250160575]",False
0,"[-1.88700439e+02  1.02042112e+01 -8.72196808e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  3.59766144e+02  3.15021515e+02  2.36170454e-04  3.56210305e+00]",25,by model,0.369694,86.746467,17.904117,5.556446,No collision,"[0, 0, 0, 0.369694, 0.23571, 0, 0, 0, 0, 0, 0, 0]","[86.746467, 89.297974, 92.313721, 95.643404, 99.337028, 103.25211, 106.999974, 110.363953, 113.287459, 115.686505, 117.653263, 119.22348]","[17.904117, 100, 84.064647, 65.175359, 51.243857, 48.758544, 48.614333, 68.520808, 100, 61.887356, 73.47746, 81.989938]","[5.556446073830549, 4.469551846420198, 2.225230164141632, 2.791877963085664, 2.8644378553685494, 1.1112750028051102, 0.4507498610775845, 3.6033473348063585, 0.6732115971652464, 3.093376970486906, 1.182538375859335, 2.419518475009288]",False
0,"[-2.15204330e+02  1.02043495e+01 -6.46320648e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  5.34336194e-02  2.88107330e+02  3.59713593e+02  3.48898279e+00]",46,by model,0.492493,7.041738,0.558338,2.331994,No collision,"[0, 0, 0.060237, 0.260819, 0, 0, 0.492493, 0.269755, 0.192097, 0.364413, 0.336262, 0.364128]","[26.24369, 21.215001, 15.376552, 9.418277, 7.041738, 7.530168, 7.443454, 7.422552, 8.933167, 11.693884, 14.974738, 18.431704]","[100, 1.707145, 1.10034, 0.558338, 100, 100, 100, 100, 100, 100, 100, 2.989069]","[0.9186914272289195, 2.331994187104302, 2.0911461475813367, 0.1563836294013914, 0.8242072168740968, 1.6521583646948166, 1.416906201973416, 1.8156972752751757, 0.636509116834663, 2.064640760928564, 1.1896328067155129, 0.389625331327506]",False
0,"[-224.52381897   10.20398331  -84.00820923    0.            0.
    0.5          10.            0.          359.85827637  171.93847656
  359.98770142    6.86309302]",46,by model,0.642437,6.981934,2.869549,2.09365,No collision,"[0.290628, 0.522875, 0.628872, 0.642437, 0.582973, 0.42129, 0.321593, 0.273228, 0.181206, 0.19081, 0.067166, 0.031161]","[6.981934, 9.133771, 13.39654, 18.240138, 23.184747, 28.013084, 32.747752, 37.45984, 42.276806, 47.235954, 52.25071, 57.393837]","[3.206777, 3.63859, 4.152244, 4.434902, 5.05021, 5.075004, 4.811847, 6.02949, 2.869549, 7.034604, 8.321239, 7.227609]","[0.44467995800703153, 2.093650306698537, 1.169440577718612, 0.548808796507499, 0.5066595181022229, 0.317398234791474, 1.3687534079358512, 1.7746046454415216, 0.26928229716265456, 0.5100472695745324, 0.31600610150222197, 0.6144762593623467]",False
