Episode,State,Action,Choosing_Type,Collision_Probability,DTO,ETTC,JERK,Collision_uid,Collision_Probability_Per_Step,DTO_list,ETTC_list,JERK_list,Done
0,"[-6.88038635e+01  1.02040787e+01 -1.16490265e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59831360e+02  2.23897903e+02  1.04526896e-02  6.41020047e+00]",10,by model,0.0,100000.0,100.0,4.297994,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000, 100000]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0.7398530679522275, 0.3911299698124271, 3.3165735919839987, 2.66745422197349, 0.21300939504762306, 1.25269873347675, 0.016620877530440392, 2.167277468621478, 1.6187965517516647, 0.9493105666379967, 4.2450129074609055, 4.297993959526225]",False
0,"[-1.02347061e+02  1.02038279e+01 -1.52064911e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  1.61505431e-01  2.26588562e+02  1.49007887e-01  7.31428614e+00]",25,by model,0.449213,18.735145,100.0,6.554459,No collision,"[0, 0, 0, 0, 0, 0, 0, 0.034808, 0.247736, 0.337025, 0.449213, 0.435631]","[27.11265, 26.203223, 25.487381, 24.890155, 24.195986, 23.205526, 21.683714, 19.51076, 18.735145, 21.876928, 26.751451, 32.520499]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[6.554459216662793, 2.1871859070026485, 5.059103716606161, 2.8749530988380596, 2.7699209543322434, 1.5944931572304317, 0.6276343615492168, 0.9704956854881037, 1.171280919213398, 0.7054139936077517, 0.08723334099561075, 1.0718771338263788]",False
0,"[-1.23204147e+02  1.02042246e+01 -1.50990753e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.59824371e+02  3.11415710e+02  9.08508301e-02  5.99528437e+00]",25,by model,0.441323,4.411053,2.993582,4.824152,No collision,"[0.323796, 0.383407, 0.340204, 0.441323, 0.077044, 0, 0, 0, 0, 0, 0, 0]","[11.496755, 6.841536, 4.411053, 7.336835, 11.734111, 16.432105, 21.637749, 27.123001, 32.953891, 39.321569, 46.343933, 54.11141]","[2.993582, 3.410778, 4.004842, 4.688758, 100, 5.467885, 5.89484, 4.054987, 5.106499, 6.684694, 7.494961, 8.08925]","[0.3265441536556286, 2.8364017533573938, 4.2086965259478655, 3.241101197875407, 4.824151938907228, 0.9226300623905934, 3.0702380783792087, 3.0028749055509807, 1.7186955252366927, 0.7631099627797218, 1.1687139687841421, 1.3877488944343774]",False
0,"[-1.60224991e+02  1.02032995e+01 -1.15049324e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.85871492e-02  3.13871613e+02  3.59987213e+02  9.55429187e+00]",46,by model,0.688401,8.516509,9.060793,3.857683,No collision,"[0.468276, 0.688401, 0.518465, 0.203897, 0.027781, 0, 0, 0, 0, 0, 0, 0]","[10.856525, 8.516509, 17.569133, 29.859751, 42.606911, 55.318289, 67.771572, 77.435527, 85.00735, 92.2023, 99.153401, 105.895328]","[9.060793, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[3.8576825405011927, 3.259296604813472, 1.7461882509370448, 2.664450693173455, 0.6145755490880096, 2.048149056937416, 2.4180375917746364, 1.018930123901704, 0.7439295122831564, 0.06860370293335638, 0.6569403366318585, 0.49876055726518187]",False
0,"[-1.83871231e+02  1.02044468e+01 -9.19525146e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  6.25838935e-02  3.14807800e+02  5.19926718e-04  2.08960918e+00]",46,by model,0.52979,8.742095,7.404261,4.949435,No collision,"[0.048949, 0.52979, 0.514439, 0.282985, 0.138647, 0, 0, 0, 0, 0, 0, 0]","[8.742095, 9.072028, 14.845447, 23.153439, 32.463025, 42.141907, 51.969253, 61.857626, 71.780526, 81.483685, 88.168932, 93.880283]","[100, 100, 100, 11.639111, 12.137446, 100, 100, 100, 100, 100, 7.404261, 100]","[0.4394947648201484, 0.3257079131457292, 0.5668277934872548, 4.949434624807037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
0,"[-1.85211380e+02  1.02044849e+01 -9.06189194e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.62175597e-05  3.14849548e+02 -1.02032845e-05  2.99253877e-06]",8,by model,0.0,99.467117,20.027497,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[99.467117, 105.039495, 110.610563, 116.183021, 121.756845, 127.332403, 132.908741, 138.48234, 143.267687, 146.517744, 148.575938, 149.850867]","[100, 100, 100, 100, 100, 100, 100, 43.47994, 100, 20.027497, 100, 100]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False
0,"[-1.85211380e+02  1.02044849e+01 -9.06189194e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01 -1.00000000e+00
  3.60929298e-05  3.14849548e+02  1.28484917e-05  8.22547399e-06]",46,by model,0.0,150.634691,100.0,7.548166,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[150.634691, 151.041402, 151.109, 151.117796, 151.118938, 151.498741, 152.392914, 153.289774, 154.06754, 154.712221, 155.192206, 155.800734]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0.0, 0.0, 0.0, 0.0, 7.548166331893405, 0.2597495153822791, 1.3521375181900392, 0.7095417456878333, 0.42427262817406164, 0.22307250835143533, 0.7202071878156096, 3.0988955912681515]",False
0,"[-1.88529022e+02  1.02043562e+01 -8.73118820e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  3.59847565e+02  3.14916992e+02  1.00128658e-04  1.93752625e+00]",25,by model,0.383732,157.226658,54.731273,4.351328,No collision,"[0, 0, 0, 0.383732, 0.160803, 0, 0, 0, 0, 0, 0, 0]","[157.226658, 159.357094, 162.150753, 165.420025, 169.05663, 172.905765, 176.717278, 180.234397, 183.317992, 185.874023, 187.975652, 189.828791]","[100, 100, 100, 99.226762, 62.905113, 54.731273, 54.837726, 57.325121, 62.935366, 99.969159, 69.085516, 74.668809]","[4.152334909170049, 4.351328294394804, 1.7631334479199547, 1.0917702242584322, 2.380588086392968, 0.048898721196245776, 2.64292256145219, 1.9788705123212407, 0.8204640043042124, 1.0469386502783942, 3.7848006515492445, 1.3950938084783635]",False
0,"[-2.14278397e+02  1.02043056e+01 -6.48548508e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.00000000e+01  1.00000000e+00
  5.66824526e-02  2.92398346e+02  3.59703186e+02  3.84812477e+00]",46,by model,0.454941,6.537093,1.098767,2.608884,No collision,"[0, 0, 0.051085, 0, 0, 0, 0, 0.41328, 0.388286, 0.362304, 0.454941, 0.447988]","[27.104066, 22.202535, 16.355193, 10.434691, 8.515166, 8.177504, 7.817556, 6.569859, 6.537093, 8.977011, 12.587691, 16.451371]","[3.278763, 2.018846, 1.300044, 100, 100, 100, 1.098767, 100, 100, 100, 100, 100]","[2.6088842186362644, 1.53280183759344, 1.5908219736216622, 2.4929015778103913, 0.20224461712023345, 1.4916281505263536, 1.027444002038615, 0.932235193384249, 1.4380388031705473, 1.2004805252064834, 2.3176163574857505, 0.4418068726096084]",False
0,"[-225.16525269   10.20419598  -78.829422      0.            0.
    0.5          10.            0.          359.96209717  176.11859131
  359.86495972    4.6484571 ]",42,randomly,0.478686,20.209368,3.064584,3.495814,No collision,"[0.37193, 0.310097, 0.265372, 0.258023, 0.287569, 0.343172, 0.42888, 0.478686, 0.375593, 0.2913, 0.17836, 0.069199]","[20.209368, 23.646499, 27.412987, 30.804495, 33.200594, 35.42526, 38.872201, 43.206772, 46.947391, 50.225582, 53.379837, 56.694348]","[3.064584, 3.390451, 3.705887, 4.044351, 4.534627, 100, 100, 100, 100, 100, 100, 6.322197]","[0.13008246289622016, 3.49581424220436, 3.070789151012686, 0.3494169988880065, 0.1767000903965077, 0.0202734586936113, 0.006744021621753804, 0.058409003053385034, 0.6132048730858949, 0.26612424891627373, 0.29502263388702066, 0.3428980483314618]",False
