Episode,Step,State,Action,Reward,Collision Probability,Collision Probability List,Action_Description,Done
0,0,"[-6.89282837e+01  1.02040319e+01 -1.16668816e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59826996e+02  2.23831848e+02
 -5.55876875e-03  6.70680427e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  2.07678999e+00 -7.65179190e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.34937307e+01
  0.00000000e+00  1.00000000e+02  2.99528834e-01  1.25650514e+00]",73,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A skyblue BoxTruck is driving ahead (near) of the ego vehicle and switching lane.,False
0,1,"[-9.67178421e+01  1.02044477e+01 -1.46466507e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.78868815e-01  2.23554611e+02
  5.59432618e-03  2.50384208e+00  1.00000000e+00  9.55242177e+00
  4.99949660e+00  1.34753514e+00 -7.60209763e-01  2.27278055e+01
  1.44065612e-01  4.99949735e+00  8.66974617e+00  0.00000000e+00
  3.71488962e+01  1.00000000e+02 -1.48763568e+00 -2.68203829e+00]",140,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SUV is crossing the road from left to right (near) and switching lane.,False
0,2,"[-1.07995338e+02  1.02042055e+01 -1.56199173e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  5.62608093e-02  2.39732574e+02
  2.77472556e-01  3.98613857e+00  1.00000000e+00  2.95584811e+01
  9.83123720e+00  1.34830325e+00 -1.04379921e+00  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  0.00000000e+00
  2.53950870e+01  1.00000000e+02 -3.28913951e+01 -1.44216494e+00]",131,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SchoolBus is crossing the road from left to right (far) and maintaining lane.,False
0,3,"[-1.30366211e+02  1.02037010e+01 -1.44295441e+02  0.00000000e+00
  1.00000000e+01  1.00000000e+00  3.59939606e+02  3.13208435e+02
  3.10662128e-02  7.78739757e+00  2.00000000e+00  5.40182362e+01
  1.11755497e+01  1.34901810e+00  8.16523832e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  6.86383470e+01
  0.00000000e+00  1.00000000e+02 -1.10485744e+00  3.08802041e+00]",118,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A red SUV is overtaking (near) the ego vehicle and maintaining lane.,False
0,4,"[-1.70877335e+02  1.02039795e+01 -1.04855240e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  1.47481561e-01  3.14251282e+02
  6.77567301e-03  6.41700163e+00  3.00000000e+00  1.81686188e+01
  0.00000000e+00  1.34773466e+00  7.98431852e-01  4.84522079e+00
  9.22700577e-02  0.00000000e+00  8.33603910e+00  0.00000000e+00
  4.74188725e+01  1.00000000e+02 -5.67409382e-01 -3.97607597e+00]",116,5.0,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",A white Jeep is driving ahead (near) of the ego vehicle and maintaining lane.,False
0,5,"[-1.78440475e+02  1.01999626e+01 -9.74157867e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59625793e+02  3.14803253e+02
  3.59668488e+02  1.99005992e-03  3.00000000e+00  7.55815644e+00
  9.53674316e-04  1.35092753e+00  7.90342014e-01  2.93851991e+01
  4.71214181e-01  9.53674316e-04  9.27326792e+00  0.00000000e+00
  4.33441706e+01  1.00000000e+02 -6.08451531e-01 -7.53126099e-01]",95,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A black SUV is driving ahead (near) of the ego vehicle and maintaining lane.,False
0,6,"[-1.78437424e+02  1.01992035e+01 -9.74145432e+01  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  5.06579764e-02  3.15146576e+02
  3.59854370e+02  2.19980471e-03  4.00000000e+00  7.55894015e+00
  1.62963939e-03  1.34834011e+00  7.83505657e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  3.55957085e+01
  0.00000000e+00  1.00000000e+02 -6.08451531e-01  2.97101211e-01]",66,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,False
0,7,"[-1.78438065e+02  1.01982937e+01 -9.74114075e+01  0.00000000e+00
  1.00000000e+01  1.00000000e+00  8.85359645e-02  3.15374023e+02
  3.59857086e+02  1.03981851e-03  5.00000000e+00  7.55520009e+00
  1.53775363e-03  1.34810204e+00  7.79519526e-01  1.00000000e+02
  1.00000000e+01  1.00000000e+02  2.00000000e+01  3.57693963e+01
  0.00000000e+00  1.00000000e+02 -6.08451531e-01  2.99214063e-01]",91,-1,0.161312,"[0.059749, 0, 0, 0, 0, 0, 0, 0, 0.161312, 0, 0, 0]",A black Hatchback is overtaking (near) the ego vehicle and switching lane.,True
1,0,"[-6.60711365e+01  1.02040453e+01 -1.14657814e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  3.59731995e+02  2.24269455e+02
  3.51877809e-01  5.03696980e+00  0.00000000e+00  1.00000000e+02
  1.00000000e+02  3.19535072e+00 -7.31086691e-01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.05386255e+01
  0.00000000e+00  1.00000000e+02 -2.44184998e+01  1.66051018e+00]",50,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A white Sedan is driving ahead (far) of the ego vehicle and switching lane.,False
1,1,"[-1.00675636e+02  1.02038774e+01 -1.50699615e+02  0.00000000e+00
  1.00000000e+01 -1.00000000e+00  2.50545144e-01  2.26681625e+02
  3.04550320e-01  6.72923443e+00  1.00000000e+00  1.78934978e+01
  5.00003097e+00  1.34710201e+00 -8.16135397e-01  1.66747769e+00
  9.49312386e-02  5.21159798e-01  1.19984370e+00  0.00000000e+00
  3.49803606e+01  1.00000000e+02  3.83855965e+00 -2.51921135e+00]",13,-1,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A pedestrian is crossing the road from left to right.,False
